,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
3881,08-Oct-21,Analyst Programmer (Front-End),New Beauty Group Limited,Mong Kok,Health &amp; Beauty Care,1 year,"['High Diploma or above in Computer Science or related disciplines', ""At least 1-2 years' solid experience in website development"", 'Experience on using HTML, CSS, JavaScript, JQuery, AJAX, XML and MySQL', 'Knowledge of responsive design and cross-browser compatibility', 'Self-motivated with can do attitude and timely delivery of results', 'Ability to multi-task, organize and prioritize work', 'We offer competitive remuneration package and good prospects to the right candidates.\xa0Interested parties please send your full resume with expected salary to apply.\xa0Data collected will be kept confidential and used for recruitment purposes only.']","['Design, develop, implement and maintain web based applications and services', 'Gather and refine specifications and requirements based on technical needs', 'Revise, edit, proofread &amp; optimize web content', 'Work with cross-functionally to enhance overall user experience of our platforms', 'Own various design tasks involved in the web development life cycle from start to finish', 'Requirements:', 'High Diploma or above in Computer Science or related disciplines', ""At least 1-2 years' solid experience in website development"", 'Experience on using HTML, CSS, JavaScript, JQuery, AJAX, XML and MySQL', 'Knowledge of responsive design and cross-browser compatibility']","['Pursue a Career with Impact', 'At New Beauty, we dare to envision, and we strive for perfection.', 'New Beauty is under a leading Medical Beauty Group, Perfect Medical,\xa0 which has over 100 treatment centers worldwide. With our passion for innovation and breakthroughs, our group business’ global footprint has been extending from Hong Kong Headquarter to China, Macau, Australia and Singapore with over 2,000 employees across regions.', 'To cope with the Company’s rapid expansion, we are currently looking for high caliber and visionary candidates to join our team as', 'Analyst Programmer', 'Responsibilities:', 'Design, develop, implement and maintain web based applications and services', 'Gather and refine specifications and requirements based on technical needs', 'Revise, edit, proofread &amp; optimize web content', 'Work with cross-functionally to enhance overall user experience of our platforms']"
3882,09-Oct-21,Presales Consultant -  Information Security / Network  (MNC),Red Consultancy Services,,Others,5 years,,"['Provide professional consulting service to support sales team for potential business strategic deal on the particular products/ services (e.g:', 'either', 'Information Security/ Cloud/ CRM/\xa0 ICT solutions)', 'Participate the whole pre-sales cycle and activities, not limited to client facing, preparing proposal, presentation, demonstration, advise to product teams and etc.', 'Responsible to provide advise on business planning, forecast (vendor pricing, project schedule, budget &amp; cost), project implementation, and its business development of each stages management', 'Closely working with various parties (Sales teams, product teams, vendors, business partners) to develop sales, products and service strategies, review service operation and develop the continuous service/ product improvement plan to maintain the premium customer satisfaction level', 'Monitor\xa0and control\xa0the\xa0business performance or provide related training to Sales', 'Requirement:', 'Degree holder in IT, Computer Science, Telecommunication Engineering, Business or other relevant discipline']","['Our client is a key IT company with well reputation in the industry. With its business expansion in the region, there are two openings: one of their security team, another for network team. They need to increase manpower to cater the dynamic market, and are now looking for a\xa0high calibers candidate to fill up the following position', 'Responsibilities:', 'Provide professional consulting service to support sales team for potential business strategic deal on the particular products/ services (e.g:', 'either', 'Information Security/ Cloud/ CRM/\xa0 ICT solutions)', 'Participate the whole pre-sales cycle and activities, not limited to client facing, preparing proposal, presentation, demonstration, advise to product teams and etc.', 'Responsible to provide advise on business planning, forecast (vendor pricing, project schedule, budget &amp; cost), project implementation, and its business development of each stages management', 'Closely working with various parties (Sales teams, product teams, vendors, business partners) to develop sales, products and service strategies, review service operation and develop the continuous service/ product improvement plan to maintain the premium customer satisfaction level', 'Monitor\xa0and control\xa0the\xa0business performance or provide related training to Sales']"
3883,08-Oct-21,Programmer I (Ref: 2100538) Library (System Services Section),The Education University of Hong Kong,,Education,2 years,,,"['The appointee will be assigned to System Services Section of the University Library.\xa0 He/she will be responsible for supporting and enhancing web based programs and applications, maintenance of self-served systems such as Self Pick-up Stations, as well as scripting and coding of other library systems.\xa0 The appointment will initially be a period of two years.', 'Applicants should have an Associate Degree or a Higher Diploma in Computer Science, Information Technology or related fields with at least two years of working experience in web application development.\xa0 Applicants should be self-motivated, willing to learn appropriate technologies and able to work with Library staff of various levels.\xa0\xa0 Fresh university graduates with good potential may also be considered.', 'Salary will be commensurate with qualifications and experience.', 'Initial appointment will be made on a fixed-term contract.\xa0 Fringe benefits include contract-end gratuity, leave, medical and dental benefits.', 'The University only accepts and considers applications submitted online for this post.\xa0 Applicants should complete the online application form and upload a full CV on or before 22 October 2021.\xa0 Applications which are incomplete or without the required documents may not be considered.\xa0 Personal data provided by applicants will be used for recruitment and other employment-related purposes.\xa0 For details of the Personal Information Collection Statement, please refer to http://www.eduhk.hk/jobsopp/index.php?glang=en.', 'All applications will be treated in strict confidence.\xa0 Only those who are shortlisted will be contacted.\xa0 The University reserves the right not to fill the position(s) advertised.', 'Further information about the University is available at http://www.eduhk.hk.', 'EdUHK is an Equal Opportunities Employer.']"
3884,08-Oct-21,"Project Technical Assistant [Appointment period: two years initially, possible to renew]",College of Professional and Continuing Education,Kowloon City,Education,,,,"['Hong Kong Community College (HKCC)', 'Project Technical Assistant', '(Ref. 211008-02)', '[Appointment period: two years initially, possible to renew]', 'Duties', 'The appointee will assist the Project Coordinator in the Education Bureau (EDB) funded project - “Development of a Web-based Remote Laboratory for Science and Engineering Education”.', 'The appointee will (a) provide general administrative support, content management and information record to the project; (b) be responsible to the design and implementation of experimental sets to the web-based remote laboratory system; (c) assist the project team in conducting surveys and data handling, and organising workshops/sharing sessions, and (d) perform any other duties as assigned.', 'Qualifications', 'Applicants should have (a) a higher diploma or a diploma or an equivalent qualification, preferably in Computer Engineering, Electronics Engineering or related disciplines; (b) at least 3 years’ relevant post-qualification experience; (c) sound communication skills; (d) good command of English and Chinese, and (e) be self-motivated, responsible and able to work independently.', 'Possession of working experience in IoT devices will be advantageous.', 'Remuneration', 'Salary offered will be commensurate with qualifications and experience.', 'Application', 'Please complete the job application form which is available on http://www.cpce-polyu.edu.hk/chro/app_form/. For applicants who wish to provide a separate curriculum vitae, they should still complete the job application form for facilitating the recruitment process. Recruitment will continue until the position is filled. Initial consideration of applications will commence in late October 2021.', 'For enquiries/further information, please contact Dr Lo Chi Hang at 3746 0101.']"
3885,09-Oct-21,IT Trainer - Prestigious Professional Service Firm,Pinpoint Asia Limited,,Human Resources Management/Consultancy,4 years,"['University Graduate or above ideally with major in Computer Science, Information Systems, or equivalent qualifications', 'Solid experience in conducting IT training, coaching, and mentoring strongly preferred.', 'Proficiency in the use of MS Office Suite (Word, Excel, PowerPoint).', 'Experience with virtual instructor-led training tools (WebEx preferred).', 'Working knowledge of learning management systems (preferably Academy).', 'Ability to quickly learn and apply new technology.', 'Outstanding attention to detail and ability to edit own and other’s work.', 'Exceptional interpersonal and communication skills in English.', 'If this outstanding opportunity sounds like your next career move, please send your resume in Word format to', 'Danny Kwan', 'at', 'resume(at)pinpointasia(dot)com']",,"['My client, a Prestigious Professional Services Firm is looking for a strong experienced IT Trainer for their Hong Kong office. The selected candidate would be working with APAC offices to provide high-quality IT Training in an international environment. Great remuneration and benefit.', 'Job Duties:', 'Conduct IT training to internal users including MS office, Document Management System, internal applications, and other applications used by the firm', 'Manage training materials, software, and classroom setup related to the training.', 'Liaise with the business and IT service team to schedule and plan the IT Training.', 'Requirements:', 'University Graduate or above ideally with major in Computer Science, Information Systems, or equivalent qualifications', 'Solid experience in conducting IT training, coaching, and mentoring strongly preferred.', 'Proficiency in the use of MS Office Suite (Word, Excel, PowerPoint).']"
3886,08-Oct-21,Systems Analyst / Senior Systems Analyst (C# / Mobile) (HK$50K to $58K) (Ref. No.: 24764),Global Executive Consultants Ltd.,,Human Resources Management/Consultancy,,"['Degree in Information Technology, Computer Science or equivalent', '8+ years in post-qualification IT experience of which 3 years must be in similar post and in comparable capacity', '8+ years of software development with experience in C#, .NET, Mobile or Cloud / AI', 'Experience in Agile and Scrum methodology are advantages', 'Experience in managing vendors for project delivery', 'Self-motivated with good communication, interpersonal, liaising and supervisory skills', 'Fluent in speaking Cantonese and English', 'Good command of English and Chinese writing']","['Conduct requirement analysis, design workshops, prototype sessions with users', 'Carry out system design', 'Monitor junior staffs and vendors including quality assurance activities such as code review, compliance check to project standards, etc.', 'Conduct system and stress testing', 'Plan, execute and support the implementation activities such as assisting user acceptance test and pre-implementation trial, conducting user training, performing system installation, data conversion &amp; cutover activities', 'Carry out initial production support and on-going maintenance support', 'Prepare project deliverables such as requirement specification, functional specification, system prototype, design specification, test plan, test scenarios &amp; test cases, implementation plan, training plan, training materials, user manual, disaster recovery procedure and disaster recovery drill report, etc.', 'Requirements:-', 'Degree in Information Technology, Computer Science or equivalent', '8+ years in post-qualification IT experience of which 3 years must be in similar post and in comparable capacity']","['Our client is looking for high-caliber person to fill the position.', 'Responsibilities:-', 'Conduct requirement analysis, design workshops, prototype sessions with users', 'Carry out system design', 'Monitor junior staffs and vendors including quality assurance activities such as code review, compliance check to project standards, etc.', 'Conduct system and stress testing', 'Plan, execute and support the implementation activities such as assisting user acceptance test and pre-implementation trial, conducting user training, performing system installation, data conversion &amp; cutover activities', 'Carry out initial production support and on-going maintenance support', 'Prepare project deliverables such as requirement specification, functional specification, system prototype, design specification, test plan, test scenarios &amp; test cases, implementation plan, training plan, training materials, user manual, disaster recovery procedure and disaster recovery drill report, etc.', 'Requirements:-']"
3887,08-Oct-21,"Programmer / Analyst Programmer / Software Engineer (.Net C#, Delphi)",iCON Business Systems Ltd,Cheung Sha Wan,Information Technology,2 years,"['2+ year solid experience of desktop or web application developmen', 'Candidates with 4+ years solid development experiences will be considered at Analysis Programmer', 'Experience in C#, Delphi, Angular, .NetCore and SQL would be an advantage', 'Experience in software development using OOP, design patterns would be an advantage', 'Willing to learn and aggressive - having ample opportunities to learn programming skill', 'Can work independently and Be Self motivated', 'Self-learned programming skill will be an asset', 'Knowledge / experience in database system development or ERP application is advantage', 'Bachelor Degree or Diploma in Computer Science, Information Technology or related disciplines', 'We offer comprehensive remuneration and benefits, and excellent career opportunities to the right candidates. Interested parties please state clearly the position you are applying to with reference no. if any in the subject line and email us a full resume with CURRENT &amp; EXPECTED SALARY.', 'All applications will be treated in the strictest confidence. We regret that only shortlisted candidates will be notified. Personal data collected will be used for recruitment purpose only.']","['Assigned to complete programming tasks including coding, testing and documentation', 'Assist in system design, collect user requirements and system design', 'Provide user training, documentation and system support service', 'Work according to management instructions and guidance', 'Capable of providing high-quality, stable and professional programming services', 'Be a matured and capable team member to accomplish software project', 'Requirements:', '2+ year solid experience of desktop or web application developmen', 'Candidates with 4+ years solid development experiences will be considered at Analysis Programmer', 'Experience in C#, Delphi, Angular, .NetCore and SQL would be an advantage', 'Experience in software development using OOP, design patterns would be an advantage', 'Willing to learn and aggressive - having ample opportunities to learn programming skill', 'Can work independently and Be Self motivated', 'Self-learned programming skill will be an asset', 'Knowledge / experience in database system development or ERP application is advantage', 'Bachelor Degree or Diploma in Computer Science, Information Technology or related disciplines', 'We offer comprehensive remuneration and benefits, and excellent career opportunities to the right candidates. Interested parties please state clearly the position you are applying to with reference no. if any in the subject line and email us a full resume with CURRENT &amp; EXPECTED SALARY.']","['Responsibilities:', 'Assigned to complete programming tasks including coding, testing and documentation', 'Assist in system design, collect user requirements and system design', 'Provide user training, documentation and system support service', 'Work according to management instructions and guidance', 'Capable of providing high-quality, stable and professional programming services', 'Be a matured and capable team member to accomplish software project', 'Requirements:', '2+ year solid experience of desktop or web application developmen', 'Candidates with 4+ years solid development experiences will be considered at Analysis Programmer', 'Experience in C#, Delphi, Angular, .NetCore and SQL would be an advantage', 'Experience in software development using OOP, design patterns would be an advantage', 'Willing to learn and aggressive - having ample opportunities to learn programming skill', 'Can work independently and Be Self motivated', 'Self-learned programming skill will be an asset', 'Knowledge / experience in database system development or ERP application is advantage']"
3888,08-Oct-21,Network Manager,Techtronic Industries Co Ltd,Kwai Hing,Manufacturing,8 years,,,"['Responsibilities', 'Assist on the architect of regional network infrastructure including manufacturing network, IoT, wifi, cloud network and MPLS.', 'Evaluate IT technologies and products, conduct PoC and contribute ideas to the design, integration and execution of continuous improvement plans', 'Maintain the documentation on network infrastructure in accordance with company security and compliance policy', 'Implement network changes in accordance with the change of management process', 'Support network infrastructure components including but not limited to router, switches, firewall, load balancer, VPN, WLC.', 'Participate in local and regional network infrastructure projects, work closely with different teams across regions and vendors for project delivery', 'Occasional travel is required', 'Requirements']"
3889,07-Oct-21,Full-Stack Engineer - FinTech MNC,BIPO Service North Asia Limited,Causeway Bay,Human Resources Management/Consultancy,,,,"['Company Information', 'Our client is a fasting growing fintech services provider specialized in management consulting, trading and risk-management platform solutions, digital marketing, and business operations.\xa0 They are inviting the high calibre developer to join the thriving team.', 'Job Duties', 'Develop the backend services / systems / platforms.', 'Develop the API and front-end UI following the design and data model.', 'Participate the DevOp work to maintain the QA and Prod environment.', 'Requirement', 'B.Sc or higher degree in computer science and related fields.', 'Have solid knowledge on front-end technique, such as JS/HTML/CSS.', 'Master at least one server-side programming language, such as Java/C#/C++.', 'To be familiar to the modern programming language, such as Go/Rust is a big plus.', 'To have solid knowledge on data structure, database, and software engineering is a', 'big plus.', 'Passionate about coding and programming innovation and solving challenging', 'problems.']"
3890,08-Oct-21,"Senior Officer, Third Party Administration",Quality HealthCare Medical Services Ltd,Kowloon Bay,Medical/Pharmaceutical,2 years,,,"['In the heart of the role:', 'Claim Adjudication', 'Inpatient claims including provider and reimbursement', 'Handle Escalated enquiry from provider', 'Conduct peer review on reimbursed claims and maintain internal audit log', 'Coordination on the medical issue', 'Assessment on the appeal case', 'Support and handle difficulty client escalated by junior staff', 'Contact Provider for medical information and administration issue', 'Assist to Prepare statistic report']"
3891,08-Oct-21,Sales Manager (Global Retail),TUV SUD China Holding Ltd,Shatin Area,Telecommunication,5 years,,,"['Job Duties', ':', 'Explore new business opportunities (retailer, importer, sourcing offices) in China and ASEAN.', 'Promote professional services (testing, inspection, auditing, and consulting services).', 'Responsibility for growth and business development worldwide, with a focus on Asian countries.', 'Handling internal and external inquiries on compliance-related issues.', 'Provide a positive customer service experience by timely response according to customers’ needs and objectives.', 'Acquire a deep understanding of customer needs and requirements and maintain a productive long-term relationship with customers.', 'Coordinates with business development groups to identify marketing plans and strategies.']"
3892,07-Oct-21,IT Security Manager,Eagle Nice Development Ltd,Kwai Tsing Area,Clothing/Garment/Textile,,,,"['Job Responsibilities', 'Define and maintain IT security policy, standard and build the security practice;', 'Develop and perform regular IT risk assessment and determine mitigation plan for security risk;', 'Maintain systems, network and application security and ensure routine operations in compliance with regulatory;', 'Identify and resolve production incidents on the security infrastructure;', 'Communicate with group', 'offices,', 'business partners, IT vendors and external parties on IT security matters', 'Requirements', 'Degree holder in Computer Science, Information Systems, Engineering, or a related discipline;', 'At least 8 years related working experience in IT security and audit;']"
3893,08-Oct-21,Automatic Liquid Handling (ALH) Technical Service Engineer,Gilson China Limited,Ngau Tau Kok,Trading and Distribution,3 years,,,"['The Job', 'You will be expected to:', 'Perform instruments installation, maintenance and repairing;', 'Provide after-sales operation training and technical support to customers;', 'Carry out regular preventive maintenance visits and reports;', 'On-site services in Hong Kong and Macau;', 'Focusing on customer satisfaction;', 'Manage a small team in service department;', 'Strategy planning;', 'Other ad ho duties.']"
