,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
1301,30-Oct-21,"Senior Officer, Human Resources (APAC & UK)",Geek Plus International Company Limited,Kwai Hing,Others,4 years,,,"['About Geek+', 'Geek+ leads the technology\xa0revolution, by applying advanced\xa0robotics and AI technologies to realize high-flexibility and intelligent logistics automation solution.\xa0We are always looking for people who can bring new perspectives and life experiences to our company.\xa0We understand the value of our people and we strive to constantly satisfy their needs.', 'We are now seeking for a', 'Senior', 'HR Officer', 'to join our team. Are you someone who is driven by curiosity, craves a good challenge? Join us and be part of this exciting adventure!', 'About the role', 'Newly created generalist role', 'Growing business', 'Fast Paced environment']"
1302,28-Oct-21,PMO Analyst,Accedo Broadband Asia Limited,Kwun Tong,Information Technology,3 years,,,"['The Global PMO is a key Support Function within Accedo. The primary objective of the Global PMO is to ensure that Customer projects are validated and set-up in a controlled manner and that Project Managers and Project teams follow agreed global delivery processes throughout the engagement lifecycle.', 'In addition to the above, a key responsibility of the PMO Analyst role includes the administration of our global time reporting and project management platform. The role also extends to performing data analysis and compiling management information reports to help drive continuous business improvements.', 'Role', ': Analytical, Operational, Process-focused', 'Experience', ': 3+ years', 'Role Responsibilities', ':', 'Work with the Global PMO team to provide assistance for project/ program set up on Accedo’s project &amp; portfolio management system', 'Assist with ensuring that new customer engagements are set-up accurately and in a timely manner', 'Assist in administering users on the PPM System, including but not limited to set-up of new Customer engagements, user account management, support &amp; troubleshooting, analysis &amp; reporting, end-user training etc…', 'Timesheet administration and outstanding engagement governance follow up with end users, including management of weekly/monthly period closing', 'Generation of reports and dashboards and analysis of data within the system for presentation to management and other stakeholders', 'Management of internal documentation and guidelines to ensure global compliance and standardisation', 'Role Requirements', ':', 'Degree in Business, Finance, IT, Systems, or related disciplines']"
1303,1-Nov-21,Project Manager,NEC Hong Kong Limited,,Information Technology,8 years,,,"['Job Description', 'The position will act as a key driver of project management from development to implementation of large scale business solution project for public sector.\xa0 The right candidate will play a professional role in managing all aspects of project activities and leading a team of developers and consultant in the provision of technology solutions to end-users in terms of their requirements.', 'To be successful, you should possess:', 'A Degree with major in Computer Science, Information Technology or relevant disciplines,', 'Certificate of', 'PMP', 'and proficient in PRINCE and SSADM are preferred;', 'At least 8 years proven track record in managing large scale government solution projects;', 'Extensive experience of solution project management and stakeholder management as well;', 'Project management know-how in connection to Data Warehouse and or BI is preferred', 'Ability to assume a technical / consultant leadership role for the team;']"
1304,25-Oct-21,Business Analyst / Senior Business Analyst (Insurance MNC),PeopleLink Services Limited,,Human Resources Management/Consultancy,3 years,,"['Conduct feasibility studies and draft proposals for evaluation by appropriate stakeholders.', 'Facilitate and negotiate buy-in from key stakeholders to obtain the best outcome for the organization where improvements and efficiencies gains across organizational boundaries and budgets, and to ensure smooth implementation and change.', 'Produce/review test plans and scenarios on behalf of the business and manage testing to ensure that product and processes are acceptable with minimal risk before becoming operational.', 'Create training materials and documentation for future business processes, business solutions and operating models and deliver training on these.', 'Qualifications', ""Bachelor's degree in business, computer science, information systems or a related discipline preferred"", 'Progressive experience in business analyst on medium-sized to large projects involving multiple stakeholders. Experience in systems revamp in insurance business is preferred.', 'Ability to analyze, communicate, articulate governance and compliance trends and program requirements']","['Responsibilities:', 'Conduct feasibility studies and draft proposals for evaluation by appropriate stakeholders.', 'Facilitate and negotiate buy-in from key stakeholders to obtain the best outcome for the organization where improvements and efficiencies gains across organizational boundaries and budgets, and to ensure smooth implementation and change.', 'Produce/review test plans and scenarios on behalf of the business and manage testing to ensure that product and processes are acceptable with minimal risk before becoming operational.', 'Create training materials and documentation for future business processes, business solutions and operating models and deliver training on these.', 'Qualifications', ""Bachelor's degree in business, computer science, information systems or a related discipline preferred"", 'Progressive experience in business analyst on medium-sized to large projects involving multiple stakeholders. Experience in systems revamp in insurance business is preferred.']"
1305,29-Oct-21,Research Assistant I/II (Ref.: 508652),The University of Hong Kong,,Education,,,,"['Research Assistant I/II in the School of Public Health', '(Ref.: 508652) (to commence in December 2021 on a one-year temporary basis, with the possibility of renewal)', 'Applicants should possess a Bachelor’s degree or above, preferably in social sciences, public health, public policy, economics, political science, or a related discipline. They should have an excellent command of written and spoken English, and experience in authoring academic research publications.\xa0 They should be self-motivated, hardworking, and able to work independently. Relevant research experience is highly preferred.\xa0 Knowledge of health policy or health systems would be an advantage. The appointee will contribute to a portfolio of research projects and assist in writing research publications, mostly related to the impact of COVID-19 on health and health systems globally.\xa0 Inquiries about the duties of the post should be sent to Dr. Karen Grépin.', 'A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.', 'The University only accepts online application for the above post. Applicants should apply online and upload an up-to-date C.V., together with a cover letter, and at least two recent writing samples. Review of applications will commence on November 8, 2021, and continue until', 'December 31, 2021', ',', 'or until the post is filled, whichever is earlier.']"
1306,20-Oct-21,Technical Assistant (5 Day Work),夢芊科技有限公司,Kwai Tsing Area,Laboratory,,,,"['Job Description:', 'As a key member of the team, the position will work closely with the Science Officer, you will best utilize your scientific expertise focusing on the following responsibilities:', 'Performing microbial culture, DNA analysis, Western Blot, ELISA assays, and other molecular benchwork', 'Perform basic molecular biological and immunohistochemical techniques (DNA Gel Electrophoresis and Western Blot analysis.)', 'Assist the Admin Officer to perform general clerical duties', 'Experience in microbial culture in the bioreactor is plus', 'Qualifications:', ""A Bachelor's Degree/ High Dipolma in Biochemistry, Molecular Biology, or a related field is required."", 'Experience in cell culture and cell biology is plus', 'University fresh graduates may also be considered', 'Interested parties please send detailed Chinese and English resumes with salary expectations to us. We are an equal opportunity employer and welcome applications from all qualified candidates. Personal data collected by us relating to applications for the above job will be kept confidential and be used for recruitment-related purposes only.\xa0 Applicants not hearing from us within 3 weeks from their applications may consider their applications unsuccessful.\xa0 Unless applicants advise us otherwise, we may refer suitable applicants to other vacancies within the Group.']"
1307,21-Oct-21,"Business Analyst (Contractor) – 3 months, 50k, MNC Firm",Recruit Logic Limited,Tsim Sha Tsui,Human Resources Management/Consultancy,6 years,,,"['Job Description', 'Your Part.', 'Your work will focus on the needs of our customers. You will involve all stakeholders, lead workshops, and be able to turn clients’ ideas into concepts.', 'You will create technical specifications and feasibility studies, and work closely with product owners and project managers.', 'Taking the customer’s vision of the product, you will determine the next steps, create a roadmap, and define individual milestones.', 'You will create use cases and user stories from the requirements, which will then form the basis for further development. You will also take ownership of the scope for the backlog along with the product owner.', 'You will be the interface between Business Development and IT, and will be able to make the customer’s language understandable for our development team.', 'Your Talent.', 'A university degree in computer science or business administration.', 'You have five\xa0or more years of experience as a business analyst in agile software development projects.', 'Your excellent understanding of complex and technical issues means that you are able to define customer needs precisely and address them methodically in the project.', 'Prior experience in software quality assurance and a good knowledge of software QA methodologies, tools and processes preferred', 'Using empathy and with a clear focus, you are able to crack even the toughest nuts and understand their needs.', 'Ideally, you already have some working knowledge of the banking domain and are prepared to increase your expertise in this area.', 'Last but not least, you enjoy working as part of a team, including across national borders.', 'Preferably, you are proficient in both English and Cantonese.']"
1308,25-Oct-21,Business Analyst (up to 50k) (Banking Industry)(Securities Operation),NewPages Recruitment Company Limited,,Human Resources Management/Consultancy,,"['Minimum 6 years experience in the banking industry', 'Familiar with securities operations and equip with experience in the replacement of post-trade system', 'Excellent understanding of the end to end project lifecycle, from initiation through to delivery as well as business transformation frameworks, agile methodologies and best practice', 'Ability to produce high-quality documentation and work independently', 'Experience delivering presentations to senior stakeholders', 'Ability to work under stress and multi-task', 'Experience managing UAT and testing', 'Excellent communication skills in English and Chinese (both verbal and written)']","['Collect and document requirements and provide necessary background information', 'Fully document scope of all related business requirements, relating to each deliverable', 'Define the overall business requirements management process and associated governance, stage gates and signoffs', 'Partner with key business and technology representatives in order to drive business requirements, testing and overall delivery', 'Work closely with IT to ensure that business requirements are translated into technical specifications and systematic solutions where required', 'Identify solutions for the enhancement, development and implementation of scalable and robust operating models and solutions, ensuring alignment to strategic business initiatives', 'Conduct a gap analysis and impact analysis with reference to regulatory rules, business needs and all the internal requirements', 'Definition of future state business process to ensure consistency and gain maximum benefit from technology deliveries', 'Provide support in case of production incidents, including root cause identification and proposing solutions to resolve the issue in a timely manner', 'Requirements:']","['Responsibilities:', 'Collect and document requirements and provide necessary background information', 'Fully document scope of all related business requirements, relating to each deliverable', 'Define the overall business requirements management process and associated governance, stage gates and signoffs', 'Partner with key business and technology representatives in order to drive business requirements, testing and overall delivery', 'Work closely with IT to ensure that business requirements are translated into technical specifications and systematic solutions where required', 'Identify solutions for the enhancement, development and implementation of scalable and robust operating models and solutions, ensuring alignment to strategic business initiatives', 'Conduct a gap analysis and impact analysis with reference to regulatory rules, business needs and all the internal requirements', 'Definition of future state business process to ensure consistency and gain maximum benefit from technology deliveries', 'Provide support in case of production incidents, including root cause identification and proposing solutions to resolve the issue in a timely manner']"
1309,29-Oct-21,System Analyst (Ref No.:SA/2910/21),Hop Hing Management Company (Hong Kong) Limited,Yuen Long,Manufacturing,5 years,"['Degree in Computer Science', '5 years experience with ERP system', 'Knowledge and experience in technologies –.NET, SQL, MSSQL Server, Oracle, Linux Server, Reporting Tools', 'Programming experience. Preferably in .NET', 'IT Helpdesk experience', 'Self-motivated, strategic thinking with sound analytical skills', 'Ability to present ideas in business-friendly and user-friendly language problem solving', 'Ability to effectively prioritize and execute tasks', 'Good communication and interpersonal skills, dynamic and teamwork mindset', 'Positive attitude, independent and able to work under pressure', 'Less experience will be considered as Analyst Programmer']","['Design, Test and deploy to application interface and ERP system integration', 'Maintenance and enhancement on developed applications', 'Validates results by testing programs', 'Ensure operation by training user client and providing', 'Support various MIS project', 'Requirements:', 'Degree in Computer Science', '5 years experience with ERP system', 'Knowledge and experience in technologies –.NET, SQL, MSSQL Server, Oracle, Linux Server, Reporting Tools', 'Programming experience. Preferably in .NET', 'IT Helpdesk experience']","['Responsibilities:', 'Design, Test and deploy to application interface and ERP system integration', 'Maintenance and enhancement on developed applications', 'Validates results by testing programs', 'Ensure operation by training user client and providing', 'Support various MIS project', 'Requirements:', 'Degree in Computer Science', '5 years experience with ERP system', 'Knowledge and experience in technologies –.NET, SQL, MSSQL Server, Oracle, Linux Server, Reporting Tools', 'Programming experience. Preferably in .NET']"
1310,2-Nov-21,Product Manager (Blockchain),TuoFan IT Limited,Tsuen Wan Area,Information Technology,,,,"['Job Highlights', 'Drive innovation and organic growth in product dev', 'Track and understand the competitive landscape', 'Conduct monthly product / service analysis', 'Strong conceptual thinking and design sense', 'Strong in Presentation, Communication skills, and Business Sense', 'Strong experience in product lifecycle management and digital performance mindset', 'Young &amp; energetic team, innovative startup culture', 'Key Responsibilities', 'Drive innovation and organic growth in product development with product design, data and architecture team', 'Keep track and understand the competitive landscape, the evolving market needs, user research and identify product positioning', 'Work closely with the customer success and monitor the user feedback and performance results to prioritise and ensure features and tasks are delivered as expected', 'Conduct monthly product / service analysis, to identify areas for improvement to sharpen product ecosystem and customer experience', 'Conduct and improve the dynamic Customer Experience Management framework and maximize every touchpoint’s value from awareness to winback and unconditional scenarios for high value personas and segments with leveraging analytics insight and data models', 'Collaborate with business teams to provide the product / digital solutions and strengthen the framework for penetration, retention and monetisation strategy']"
1311,25-Oct-21,Business Analyst - Leading Insurance Company (High pay),Cornerstone Global Partners,,Human Resources Management/Consultancy,3 years,"['3+ year of related working experience in technology industry, preferably in banking', 'Prior experience in a sizable digital transformation project', 'Bachelor degree or above from top-tier university\xa0in IT or related disciplines', 'Solid understanding of Agile or Scrum methodology', 'Excellent communication and presentation skills', 'Good command in English, Cantonese and Mandarin']","['Work with clients and technical resources to identify their business problems and develop the right approach and analytical solution', 'Good knowledge and understanding of digital application workflows', 'Plan and manage business diagnosis and planning activities', 'Understand and analyze functional impacts on front-to-back applications', 'Perform/interpret requirement analysis to identify value creation opportunities for clients', 'Design and document new process and system changes', 'Requirements:', '3+ year of related working experience in technology industry, preferably in banking', 'Prior experience in a sizable digital transformation project', 'Bachelor degree or above from top-tier university\xa0in IT or related disciplines', 'Solid understanding of Agile or Scrum methodology']","['Responsibilities:', 'Work with clients and technical resources to identify their business problems and develop the right approach and analytical solution', 'Good knowledge and understanding of digital application workflows', 'Plan and manage business diagnosis and planning activities', 'Understand and analyze functional impacts on front-to-back applications', 'Perform/interpret requirement analysis to identify value creation opportunities for clients', 'Design and document new process and system changes', 'Requirements:', '3+ year of related working experience in technology industry, preferably in banking', 'Prior experience in a sizable digital transformation project']"
1312,1-Nov-21,Senior Engineer / Engineer – Polymer Composites and Encapsulation Technologies,The Nano and Advanced Materials Institute Limited (NAMI),Shatin Area,Chemical/Plastic/Paper/Petrochemical,,,,"['Duties', 'The appointee will work on the development of polymer composites and Nano-/micro-encapsulation technique. His/her role will involve formulation study of polymerization of Nano-/micro-capsules and assembly the capsules into matrix composites with desired performance requirements such as mechanical performance, temperature, thermal conductivity, service life; as well as the processing into finished products. He/she will work in a dynamic and efficient team and is responsible for:', 'Conduct formulation development of Nano/micro-capsules and conduct characterization tests;', 'Develop polymer composite with required performances according to different needs;', 'Advise on the manufacturing process of polymer composite such as molding and casting;', 'Prepare technical reports and presentations in timely manner;', 'Support scale up and commercialization of all R&amp;D results for industrial partners;', 'Incubating idea to explore the opportunity of cooperation with industry partners; and', 'Performing other duties assigned by supervisor.']"
1313,16-Oct-21,Major Banks: Data Warehouse (DataStage / Informatica / ETL) Programmer / AP / System Analyst,IT Solutions Ltd.,,Information Technology,2 years,"['Degree in Computer Science or related discipline', '2 Year+ experience in ETL Development', 'Knowledge in\xa0IBM DataStage or\xa0Informatica is a big plus', 'With or without banking experience', 'Candidates with less experience will also be considered', 'Benefits:', 'Attractive remuneration will be offered to the successful candidate.', 'Excellent opportunity to further develop your professional skills in a Major Bank.', 'If you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries to:']","['Work on data warehouse enhancement\xa0projects', 'Analyze user requirements', 'Application design &amp; data warehouse ETL development\xa0using\xa0IBM DataStage and SQL', 'Requirements:', 'Degree in Computer Science or related discipline', '2 Year+ experience in ETL Development', 'Knowledge in\xa0IBM DataStage or\xa0Informatica is a big plus', 'With or without banking experience', 'Candidates with less experience will also be considered']","['We are searching on behalf of Major Banks for a few high calibre', 'System Analysts', '/\xa0Analyst Programmers /', 'Programmers', 'to work on', 'interesting', 'Data Warehouse / BI application development', 'projects', 'using SQL,', 'IBM\xa0DataStage', 'and other Data Warehouse tools.', 'Responsibilities:', 'Work on data warehouse enhancement\xa0projects']"
