,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
45,"{date}"",""",Senior Data Analytics Manager (BI/CRM),AGS Group Limited,,Human Resources Management/Consultancy,8 years,,,"['Our client', 'is a large reputation organization in Hong Kong . They are looking for a high-calibre', 'professional to join their database BI department to support business growth and enhance customer experiences across the regions.', 'Responsibilities', 'Understand business issues and needs, then design effective data analytics programs to identify root causes and solutions', 'Conduct in-depth and dynamic data analysis from complex data sets,', 'derive business insights from analysis results and review with business users', 'Assist in defining appropriate business and direct marketing campaign metrics, and solicit relevant data sources to produce the evaluation reports', 'Bring in best practices in advanced data analytics, predictive modelling', ', campaign management, CRM and related processes', 'Lead and coach other colleagues to conduct data analysis', 'Establish business and data analytics request procedure']"
46,01-Nov-21,Data Analyst Specialist - Fresh graduates are welcome,Bright Future Pharmaceutical Laboratories Ltd,Yuen Long,Medical/Pharmaceutical,,"['Bachelor or above in science or related disciplines', 'Fluent in spoken, written, listen and read English and Chinese, Cantonese is preferred', 'Lean &amp; six sigma certification is preferred but not necessary', 'We offer 5-day work with good career prospects and excellent fringe benefits to the right candidates\xa0including shuttle bus (Long Ping, Tin Shui Wai, Fanling MTR station), medical insurance, free luncheon, and discretionary bonus.', 'Interested parties please send your full resume stating your current and expected salary and date of availability to the Human Resources Department by clicking Apply NOW.', '(Data collected will be used for recruitment purposes only.)']","['Assist in data analysis and reporting to monitor manufacturing efficiency;', 'Collaborate for LEAN tools application, staff training or efficiency improvement projects;', 'Other Ad hoc assignments from supervisor.', 'Requirements:', 'Bachelor or above in science or related disciplines', 'Fluent in spoken, written, listen and read English and Chinese, Cantonese is preferred', 'Lean &amp; six sigma certification is preferred but not necessary', 'We offer 5-day work with good career prospects and excellent fringe benefits to the right candidates\xa0including shuttle bus (Long Ping, Tin Shui Wai, Fanling MTR station), medical insurance, free luncheon, and discretionary bonus.', 'Interested parties please send your full resume stating your current and expected salary and date of availability to the Human Resources Department by clicking Apply NOW.']","['About Bright Future', 'Founded in 1993, Bright Future is a Hong Kong research-based leading multinational pharmaceutical company focused on skin health, pediatrics, respiratory and pain management. With experience and capabilities in the development, manufacturing and commercialization of prescription medications, OTC products and health functional products, Bright Future puts quality of life first and is committed to offering excellent health solutions to make every life healthier. As is our vision:\xa0 “brighter life better future”.', 'To cope with our business expansion and new product development, we are looking for the right talent to join our growing Hong Kong office.', 'Responsibilities:', 'Assist in data analysis and reporting to monitor manufacturing efficiency;', 'Collaborate for LEAN tools application, staff training or efficiency improvement projects;', 'Other Ad hoc assignments from supervisor.', 'Requirements:']"
47,03-Nov-21,Data Engineer (PowerBI Developer),Techtronic Industries Co Ltd,Kwai Hing,Manufacturing,3 years,"['Bachelor’s degree in computer, engineering, business, data science or related', 'disciplines', '3+ years’ experience developing Power BI models, dashboards, visualizations, and custom reports', 'Excellent analytical skills and expert ability to manipulate Excel-based data sets to analyze, pivot, and extract data', 'Strong proficiency in TSQL', 'Good written and oral communication in Chinese and English', 'We offer 5-day week, competitive remuneration package and good career prospects to the right candidate. Interested parties please send your resume with expected salary\xa0by clicking APPLY NOW.', '(All personal data collected would be used for recruitment purpose only)']","['Lead the design, development, and deployment of PowerBI-based solutions to report on business conditions such as supply chain health and component shortages, component forecasts, and status of new product development (NPD) projects', 'Serve as a resource to the Asia-based Global Electronics Sourcing team to provide quick turn-around on data consolidation and analysis in a rapid-paced environment, often from disparate MS Excel spreadsheets', 'Work collaboratively with multiple business functions and locations to identify opportunities to streamline or automate data reporting to enhance business decisions', 'Assist with maintaining EDI flow of accurate forecasts to suppliers for critical electronic components', 'Develop ad-hoc reports as required by senior management', 'Requirements:', 'Bachelor’s degree in computer, engineering, business, data science or related', 'disciplines', '3+ years’ experience developing Power BI models, dashboards, visualizations, and custom reports', 'Excellent analytical skills and expert ability to manipulate Excel-based data sets to analyze, pivot, and extract data']","['This role will be responsible for developing and automating', 'the dashboards, reports, and tiles to guide business decisions in sourcing, engineering, and supply chain. The engineer will work with a diverse set of stakeholders across functions and multiple business units with', 'locations in the USA, Hong Kong SAR, and Dongguan, PRC. The ideal candidate is well-versed and has good experience in building Power BI reports, is an expert MS Excel user, has conventional working knowledge of SQL Server. The candidate will be proficient at extracting data from numerous sources such as Excel spreadsheets, Siemens Teamcenter, and Oracle ERP.', 'Responsibilities:', 'Lead the design, development, and deployment of PowerBI-based solutions to report on business conditions such as supply chain health and component shortages, component forecasts, and status of new product development (NPD) projects', 'Serve as a resource to the Asia-based Global Electronics Sourcing team to provide quick turn-around on data consolidation and analysis in a rapid-paced environment, often from disparate MS Excel spreadsheets', 'Work collaboratively with multiple business functions and locations to identify opportunities to streamline or automate data reporting to enhance business decisions', 'Assist with maintaining EDI flow of accurate forecasts to suppliers for critical electronic components', 'Develop ad-hoc reports as required by senior management', 'Requirements:']"
48,01-Nov-21,Data Analyst,Swire Resources Ltd,Kowloon Bay,Wholesale / Retail,1 year,,,"['Job Summary', 'The Data Analytics team is looking for a passionate analyst in exploring Data and CRM initiatives.\xa0 You will serve as an internal consultant to work with business heads to discover, communicate, action-ize data insights from our data lake, including retail sales, ecom sales, app, campaign communications, etc.\xa0 You will also need to build up machine learning models and ETL pipelines using Python and in case of big data, PySpark.', 'To enable full data understanding in final data application, you will also be participating in data analysis towards our all-round operations in merchandizing, customer relationship, ecommerce, retail shop operation, mobile app development, etc.\xa0\xa0To be responsible for\xa0development\xa0of mobile application coding, testing and implementation accord to specification.\xa0The ideal candidate should be eager to learn and have a passion for technology and software development.', 'Job Duties and Responsibilities', 'Analysis in data for new CRM campaigns / business applications', 'Support data model designs to fit in generic business analytics needs', 'Support data analysts in running machine learning application over Spark', 'Fast prototyping in data model / data pipeline via Python', 'Understand detail business processes and collect user requirements', 'Create visualizations to support business decisions or to show business insights']"
49,"{date}"",""",Data Analytic Manager/Senior Data Analytic Officer 數據分析經理/高級數據分析主任,ICBC Credit Card Centre (Int'l),North Point,Banking,3 years,"['1.具有統計學、電腦應用、風險管理或相關學科學歷；', '2.最少3年信貸風險管理工作經驗；', '3.有較強資料採擷背景，熟悉SAS、SQL、Python、R等語言；', '4.進取心強，良好的溝通能力和具有團隊合作精神；', '5.具有良好的中英語文能力，普通話流利者優先。', '1.Degree holder in Statistics, Computer Science, Risk Management or related discipline;', ""2.Minimum 3 years' relevant experience in Credit Risk Management;"", '3.Solid knowledge of data mining and coding (e.g., SAS, SQL, Python, R);', '4.Self-motivated, \xa0good communication and interpersonal skills as well as a team player;', '5.Excellent command of both spoken and written English and Chinese, Putonghua is a plus.', 'Benefits：', '5-day work per week', 'Medical Insurance(Including Dental)']",,"['Job Duties:', '1.為業務發展進行資料採集和分析；', '2.設計、準備和重檢信貸及業務表現分析報告；', '3.提供日常信貸管理MIS報表；', '4.根據業務需要，提供其他方面的支持。', '1.Perform data mining and analysis to identify new business opportunities;', '2.Design, prepare and review reports on credit risk and business performance analysis;', '3.Provide MIS support on credit risk and portfolio management;', '4.Assist in Ad-hoc projects as required.', 'Requirements:', '1.具有統計學、電腦應用、風險管理或相關學科學歷；', '2.最少3年信貸風險管理工作經驗；']"
50,"{date}"",""",Consulting - Business Consulting - Data Analytics - Manager - Hong Kong,EY,,Accounting/Audit/Tax Services,6 years,,,"['The opportunity', 'As the Data &amp; Analytics team member you will be leading to grow advanced analytics and data science within the Enterprise Risk Consulting team in HK.\xa0 You will work with the broader DnA team to provide services utilising leading big data platforms and cloud technologies.\xa0 Our team is working on some of the latest technologies in the region using advanced analytics solutions such as AWS, Azure, Hortonworks, Cloudera etc. This is a varied role that will involve a broader scope to work collaboratively with our teams and clients in helping develop their ability to use and consume technologies and data, as part of the client project delivery.', 'Your key responsibilities', 'Working with senior stakeholders (both internal and external) to understand their business requirements and apply the latest advanced analytics and data science to provide actionable insights', 'Participating sales pursuits and business development opportunities for advanced analytics work as well as supporting wider data and analytics projects and opportunities', 'Leading the design and development of advanced statistical models to facilitate effective predictive models and be able to clearly explain the model strengths and weaknesses to both technical and business stakeholders', 'Develop partnerships with solution providers and vendors in the formulation and implementation of services to our client']"
51,04-Nov-21,Senior Data Analyst,Hysan Development Co Ltd,Causeway Bay,Property Management / Consultancy,10 years,,,"['Job Purpose', 'This role is responsible for managing data requests from different business units, understand their business goals and translate unstructured business questions into quantitative metrics, and visualizing on business performance and key metrics using different BI tools.', 'Key Responsibilities', 'Analyze the business requirements and design an optimized solution', 'Responsible for data analysis, data modeling, ETL, dashboards and reports development', 'Work with key users to gather the user requirement and facilitate the system &amp; report design, testing and documentation', 'Assist users to discover the available data and create intuitive and interactive data visualizations', 'To be proactively in analytic area e.g. analyze user behavioral data to identify patterns, uncover opportunities, facilitate the formulation of business goals, and to improve sales business and reduce churn.', 'Work closely with various vendors for systems integration and to define the data flows', 'Handle application support and ad hoc tasks assigned']"
52,"{date}"",""",Analyst (9-month contract),Mannings,Quarry Bay,Wholesale / Retail,,,,"['The Job', 'Support the team in promotion analytics, data visualization, budgeting and forecasting for both business and promotion performances', 'Assist in development of promotional analytics modelling, financial modelling / budgeting, and data visualization (e.g. dashboards in Tableau for management use)', 'The Person', 'Bachelor’s degree in Finance / Engineering / Statistics / Computer Science / Data Science', 'Strong Excel skills and PowerPoint slide building experience is a must', 'Knowledge in SQL, VBA, Python, R and/or Tableau is highly preferred', 'Experience in FMCG industry is an advantage', 'Be able to work well as a team and independently', 'Able to work under pressure and tight deadlines', 'Strong stakeholder and time management skills', 'DFI Retail Group is responsible for ensuring that all personal information collected from each Candidate presented to DFI Retail Group is used for recruitment purposes only and the data collection process is in accordance with all applicable laws and compliant with the Code of Practice on Human Resource Management.', 'To find out more about Our Businesses and Our People, please visit our website:', 'https://www.DFIretailgroup.com', 'We are an equal opportunity employer. Personal data collected will be kept and handled confidentially by authorised personnel for recruitment purposes only. We will retain the applications of candidates not selected for a period of no more than 24 months. A copy of our Privacy Policy can be accessed by visiting our Company website.”']"
53,03-Nov-21,"Data Specialist (short term contract, up to 30k)",Manpower Services (Hong Kong) Limited,Mong Kok,Human Resources Management/Consultancy,,,"['Data management: Maintain database &amp; conduct Data mapping in systems;', 'Data Cleansing: Assist in data cleansing and data preparation to ensure data accuracy and data fluency;', 'Perform data analysis with excel and data matching process;', 'Prepare training materials for data process;', 'Comply with integrity and compliance standards; and', 'Perform any other duties assigned by supervisors.', 'Requirement:', 'Bachelor degree or above, preferred graduates from Business Analysis Economics, Accounting, Economics, Business administration, information Technology, Computer Science or related disciplines;', ""Preferred 2 years' working experience or above, fresh graduate is also welcomed;"", 'Immediately available is preferred;', 'Proficient in Excel &amp; SQL in data analytics is a must;', 'Proven analytical background;', 'Data driven, customer focused, proactive, creative and innovative;', 'Self-starter with high energy and drive, fast paced and results driven; and', 'Proficiency in both spoken and written English and Chinese.', 'Interested parties please email your resume (MS Word format), with expected salary and job reference no. to', '[email\xa0protected]']","['Responsibilities:', 'Data management: Maintain database &amp; conduct Data mapping in systems;', 'Data Cleansing: Assist in data cleansing and data preparation to ensure data accuracy and data fluency;', 'Perform data analysis with excel and data matching process;', 'Prepare training materials for data process;', 'Comply with integrity and compliance standards; and', 'Perform any other duties assigned by supervisors.', 'Requirement:', 'Bachelor degree or above, preferred graduates from Business Analysis Economics, Accounting, Economics, Business administration, information Technology, Computer Science or related disciplines;', ""Preferred 2 years' working experience or above, fresh graduate is also welcomed;"", 'Immediately available is preferred;', 'Proficient in Excel &amp; SQL in data analytics is a must;', 'Proven analytical background;', 'Data driven, customer focused, proactive, creative and innovative;', 'Self-starter with high energy and drive, fast paced and results driven; and', 'Proficiency in both spoken and written English and Chinese.', 'Interested parties please email your resume (MS Word format), with expected salary and job reference no. to']"
54,03-Nov-21,Data Analytics Senior Speicalist - Leading Banking Group,CGP,Central & Western Area,Human Resources Management/Consultancy,,,,"['Key responsibilities', 'Generate deep dive analysis on deposit, loans and payment products to support channel marketing, quality customer acquisition, customer engagement and health business growth.', 'Identify and develop exploratory metrics to try to find unknow insights and opportunities. Use leading metrics to predict product and business performance, and recommend tactics of business drivers', 'Perform Segmentation analysis (Cross sectional comparison of all people divided by some attribute) and Cohort analysis\xa0–\xa0to compare similar groups of customers over periods of time', 'Support\xa0A/B testing\xa0–\xa0compare similar groups over time, changing one thing and measure results ( focus on the critical steps and assumptions)', 'Watch out reporting metrics to keep business owners abreast of normal, managerial, day-to-day operations', 'Develop insights for business units, including management dashboards, regular reports, and ad-hoc analysis.', 'Understand and execute the systems and data points applicable to marketing and product, and to advise on areas for opportunity and collaboration in ingesting and tracking data.', 'Retrieve and collect unstructured and structured data sources to build up the ‘customer 360 view’ perform data processing, cleansing and verification.', 'Requirements', 'Minimum 4 years in an analytics role in digital, product or marketing', 'Degree holder in Data Science, Information Technology, Statistics or other related disciplines', 'Familiar with big data platform including Data Lake, Hadoop, Spark, etc., have experiences of data development', 'Excellent skills on SQL and Tableau, with understanding of database structure, model design and segmentation techniques', 'Proficiency in Python and its application in data analysis', 'Being familiar with CRM and digital analytics tools (e.g. google analytics) would be an advantage']"
55,01-Nov-21,Senior Data Analyst (Up to HK$800k p.a. depends on experience),Ambition,,Human Resources Management/Consultancy,5 years,,,"['Job Responsibility', 'Reporting directly to the Regional Head of Sales Operation, you will work closely with the commercial team and perform advanced data analysis on business data collected from different sources. Being a key member in the team, you will build and monitor performance dashboard to provide timely update to senior management team on the latest business trends against targets and KPIs. You will optimize data collection and reporting process and ensure relevant insights and business recommendations are delivered effectively and efficiently. You will work closely with senior business stakeholders and participate in business planning and drive innovation.', 'Key Requirement', 'Degree holder in Statistics, Data Science, Computer Science or related disciplines.', '5-8 years of relevant work experience in data analytics/ business analysis preferably gained from a B2B business environment.', 'Experienced in business intelligence reporting, database management and ETL tools such as Power BI and Tableau is a must.', 'Strong business acumen and experienced in presenting insights and recommendations to senior stakeholders.', 'Good problem solving and interpersonal skills are essential.', 'Excellent command in English (spoken and written) is required.']"
56,30-Oct-21,Senior Research Associate / Scientist,Phase Scientific International Limited,Kwun Tong,Medical/Pharmaceutical,3 years,,"['Independently design protocols and perform experiments to achieve desired project objectives.', 'Spend between 50-80% of working time at the lab bench performing experiments and generating data.', 'Become familiar with new experimental techniques and equipment. Develop sufficient knowledge to independently troubleshoot malfunctioning equipment and experimental processes, and to provide corrective action recommendations.', 'Analyze raw data from experiments, generate figures, and derive meaningful conclusions based on the results.', 'Put together concise presentation slides on a regular basis to update the project managers and team members on project progress.', 'Clearly and succinctly present results and findings at group meetings.', 'Write reports to summarize and document the progress and outcomes of research projects.', 'Read scientific literature to support fundamental understanding of technology and research projects.', 'Work closely with chemistry and molecular biology groups to develop our molecular sample preparation kits and improve the resulting DNA sequencing performance.', 'Contribute to project planning, generating timelines, and objective formation.', 'Assume responsibility for timely completion of projects, ensuring activities are consistent with project critical path, and responding appropriately to changing priorities. Ensure technical activities under delegated supervision are conducted within internal and external guidelines and regulations.', 'Develop, track, and manage detailed development program timelines, deliverables, and milestone progress.', 'Work on multiple projects at a time, in either a supportive or lead role.', 'Assist with general lab and equipment maintenance, and R&amp;D material purchasing.', 'Provide technical advice, guidance, and training to junior scientific staff, and serve as a role model.', 'Knowledge and Skill Requirements', ':', 'Ph.D. in molecular biology, microbiology, biochemistry or related fields. 1-3 years of additional working experience in research and development is preferred. OR Bachelor’s degree in molecular biology, microbiology, biochemistry or related fields with minimum 3 years working experience in research and development.']","['Overview:', 'The position will be responsible for project planning, providing progress updates, and designing and performing experiments.', 'We are a high energy biotech company that is driven by technological innovation, and therefore requires an R&amp;D team that can manage a fast-paced environment, rapidly evolving project goals, and hitting critical deadlines.', 'This position will be expected to handle working on multiple projects at a time, in both supportive and lead roles', '. Initially, the main efforts will be to develop our molecular sample preparation product line, as well as work on innovative research projects that investigate new uses for our technology. The position is expected to be able to work independently and to provide guidance to the junior research staff.', 'Senior Research Associate', 'Responsibilities:', 'Independently design protocols and perform experiments to achieve desired project objectives.', 'Spend between 50-80% of working time at the lab bench performing experiments and generating data.', 'Become familiar with new experimental techniques and equipment. Develop sufficient knowledge to independently troubleshoot malfunctioning equipment and experimental processes, and to provide corrective action recommendations.', 'Analyze raw data from experiments, generate figures, and derive meaningful conclusions based on the results.', 'Put together concise presentation slides on a regular basis to update the project managers and team members on project progress.', 'Clearly and succinctly present results and findings at group meetings.', 'Write reports to summarize and document the progress and outcomes of research projects.', 'Read scientific literature to support fundamental understanding of technology and research projects.', 'Work closely with chemistry and molecular biology groups to develop our molecular sample preparation kits and improve the resulting DNA sequencing performance.']"
57,01-Nov-21,"Analyst, Big Data & Cloud Solutions (1-year contract)",BASF East Asia Regional Headquarters Limited,Central,Chemical/Plastic/Paper/Petrochemical,1 year,,,"['Description - External', 'At BASF, we create chemistry for a sustainable future. We combine economic success with environmental protection and social responsibility. Our portfolio is organized into six segments: Chemicals, Materials, Industrial Solutions, Surface Technologies, Nutrition &amp; Care and Agricultural Solutions. BASF’s Asia Pacific regional headquarters is located in Hong Kong and had 390 employees by the end of 2020.', 'Objectives of the Position', 'Reporting to the global Digital Transformation &amp; Enterprise Architecture team, you will enable, promote, and drive a data driven culture by ensuring and delivering highest quality of trusted data structures for all related business cases of a global operating division.', 'Job Responsibilities', 'Responsible for the global data infrastructure and data availability for all global functional units and regional business units', 'Build and maintain workflows for backend data applications, maintain application code/notebooks, resolve data issues for raw and trusted data', 'Closely monitor the cloud-based data architecture and the individual components to ensure continuous data availability', 'Develop, optimize data models and data transformation workflows, as well the ETL pipelines', 'Extract data from internal and external sources; prepare raw data tables for future manipulation', 'Develop, design, and deploy advanced analytics solutions together with colleagues from regional business units', 'Responsible for server administration and backup activities', 'Requirements', ""Bachelor's degree in Computer Science, Business Analytics, Statistics, or equivalent experience""]"
58,01-Nov-21,"Data Scientist (Sizable Company, up to 48k)",Robert Walters (HK),,Human Resources Management/Consultancy,2 years,"['Master degree in Statistics, Computer Science, Data Science or related discipline', ""A minimum of 2 years' experience in big data projects (Mphil and Ph.D projects can be applied)"", 'Proficiency in R for general programming, statistics and data visualization', 'Solid knowledge in generalized linear models, survival analysis and generalized linear mixed models including their distributions, assumptions and interpretations', 'Basic-to-intermediate understanding of SQL for data retrieval', 'Capability in handling and processing large volumes and high variation of data efficiently', 'Willingness to embrace new ideas and learn continuously with a positive attitude']","['Works closely with cross-functional teams to perform statistical analysis at department and division level', 'Supports marketing projects on customer targeting and analysis', 'Undertakes processing of structure and unstructured data', 'Prepares performance reports for the Management and marketing segment teams', 'Uses machine learning algorithms and programming to build predictive models, providing insight on business matters', 'Collaborates with IT team to push big data projects to production on server side', ""Ensures compliance with Responsible Gambling Policy and all stipulated legal requirements pertaining to wagering, thereby protecting the integrity of the Club's businesses"", 'Undertakes other duties as assigned by Line Manager', 'Requirements:', 'Master degree in Statistics, Computer Science, Data Science or related discipline', ""A minimum of 2 years' experience in big data projects (Mphil and Ph.D projects can be applied)"", 'Proficiency in R for general programming, statistics and data visualization', 'Solid knowledge in generalized linear models, survival analysis and generalized linear mixed models including their distributions, assumptions and interpretations', 'Basic-to-intermediate understanding of SQL for data retrieval', 'Capability in handling and processing large volumes and high variation of data efficiently', 'Willingness to embrace new ideas and learn continuously with a positive attitude']","['The hiring company is sizable company, which is looking for data scientist talents to join their team.', 'Job Responsibilities:', 'Works closely with cross-functional teams to perform statistical analysis at department and division level', 'Supports marketing projects on customer targeting and analysis', 'Undertakes processing of structure and unstructured data', 'Prepares performance reports for the Management and marketing segment teams', 'Uses machine learning algorithms and programming to build predictive models, providing insight on business matters', 'Collaborates with IT team to push big data projects to production on server side', ""Ensures compliance with Responsible Gambling Policy and all stipulated legal requirements pertaining to wagering, thereby protecting the integrity of the Club's businesses"", 'Undertakes other duties as assigned by Line Manager', 'Requirements:', 'Master degree in Statistics, Computer Science, Data Science or related discipline', ""A minimum of 2 years' experience in big data projects (Mphil and Ph.D projects can be applied)"", 'Proficiency in R for general programming, statistics and data visualization', 'Solid knowledge in generalized linear models, survival analysis and generalized linear mixed models including their distributions, assumptions and interpretations', 'Basic-to-intermediate understanding of SQL for data retrieval']"
59,03-Nov-21,Senior Data Analytics Manager (Customer Experience / CRM),Ogilvy & Mather (Hong Kong) Private Ltd,Quarry Bay,Advertising/Public Relations/Marketing Services,5 years,,,"['We are looking for a Senior Data Analytics Manager to support in integrating science into the art of marketing. Within this most awarded agency, you will be given the opportunity to influence some of the biggest brand building initiatives in Hong Kong and Asia. Your ability to turn an ocean of data into actionable insights is essential for Ogilvy in this new era, where brands are built through personalized interactions. Your guardianship is absolutely critical to influence the mindsets within the agency, as well as the clients. As creativity is in the blood of every Ogilvy associate, creative use of data analytics would be expected.', 'Responsibilities', 'Data:', 'Lead the drive to integrate data analytics into every level of Ogilvy', 'Coach team of Analysts to extract actionable insights', 'Grow Ogilvy’s data analytics capability and capacity', 'Translate unstructured business questions into quantitative problems', 'Interpret data and work with various Omnichannel data sources', 'Manage various reporting and data visualisation tools to unearth KPI and performance tracking insights and summary', 'Run analysis on customer behaviour, blending structured and unstructured dataset', 'Find key insights and create actionable recommendations through quantitative analysis', 'Utilize statistical models to support marketing strategies and planning', 'Provide advanced analytics support on segmentation, campaign optimization and personalization.', 'Technical:']"
60,03-Nov-21,Senior/System Analyst (Data Warehouse),Page Group Hong Kong,,Human Resources Management/Consultancy,,,,"['There is now an excellent chance to join in one of a renowned organization in entertainment industry in the world. They are currently having a large scale revamp project and developing the one of the largest data warehouse system. This candidate should has strong technical programming hands-on experience in .NET and SQL. Applicants with solid SQL Queries and stored procedure programming is preferred.', '客户简介', 'Our client is a market leader for the entertainment industry in the world. They are now having a large revamp program for its core business system. Thus, they are now looking for multiple of BI/Data warehouse talents to join in their teams. The candidate will have a great exposure on its challenging projects and duties.', '工作内容', 'Responsible for:', 'Acts as project manager to help implementing data warehouse enhancement', 'Manages developers; ensure the tasks are qualified and meet the timeline', 'Design, Develop, enhance and support large scale of Data Warehouse applications', 'Involve with the whole SDLC including requirements, analysis, documentation, testing and so on', 'Involve with code review for the team and ensure the quality of the applications', 'Assist with ad hoc projects', '理想的求职者', 'Qualifications:', 'Degree holder in Computer Science or Information Technology', 'Applicants with more than 5 years experience in .NET and SQL programming; as well as SQL Queries and Stored Procedure']"
61,"{date}"",""",Data Center Operations Technician,BDX (HK) Limited,Kwai Hing,Telecommunication,,,,"['Job Description', 'The Data Center Operation Technician is members of 24x7 Data Center Operations team and reports to Data Center Operation Manager. The DC Operation Technician is tier 1 support for', 'on-premises data center operation and requests fulfillment in Colocation services, Cross-connect services, and Remote-Hands / Smart-Hands services.', 'Responsibilities', 'This role will be responsible for a variety of data center functions, including:', 'Provide first line problem solving and escalation in Data Center Operational matters', 'Provide regular reporting on progress as required by Data Center customers', 'Monitoring the Data Centre infrastructures (Power, cooling, etc.) and engaging the respective specialized team', 'Management of Inventory records and regular asset inventory accuracy inspections', 'Follow the instruction from senior / and manager per related assignment.']"
62,03-Nov-21,Data engineer,Hays,,Human Resources Management/Consultancy,,,,"['This is a Data engineer role working in a scale-up online platform with good exposure.', 'Your new company', 'Your new company is a fast-growing platform which is expanding and looking for an energetic team-player to join their team.', 'Your new role', 'In this role you will be responsible for:', 'Conducting data mining, pattern analysis upon business needs', 'Collaborating with different business units for making outcomes', 'Visualising dashboards and generating analytic reports', 'Implementing pipelines based on real-time problems and building predictive models', 'Building machine learning models', ""What you'll need to succeed"", 'As the successful candidate you will have:', ""Bachelor's Degree in Computer Science, Computer engineering, Information Technology"", 'Experienced in Python, NLP will be a plus', '3+ years of relevant experience in implementing data warehouse / big data solution', 'Proficient in Chinese and English']"
63,03-Nov-21,ETL Developer / Data Engineer - 5 days work perm role,Linkers International Limited,Causeway Bay,Human Resources Management/Consultancy,2 years,,,"['Your role', 'The successful candidate will be responsible for design and set up projects that bring together information from a variety of sources, to enable analysis and decision-making. You make sure that data is accessible and easy to use, so that it can be used for routine and ad-hoc analysis', 'Responsible for ETL programming development, data warehouse maintenance, data integration projects.', 'Write SQL, PL/SQL to run queries and support data analysis work Job requirements.', 'To succeed in this role', 'Degree Holder or above in Computer Science or related disciplines with minimum 2 years of working experience in Data relevant area.', 'Solid knowledge on Oracle database, modelling, data cleaning, transformation, warehousing, data mart, and BI tools such as Microsoft Power BI;', 'Solid experience on development of data warehouse, ETL and BI.', 'Experience in Enterprise Data Warehouse and Business Intelligence;']"
64,31-Oct-21,Data Analyst – Campaign Specialist,now TV,Kowloon Bay,Telecommunication,1 year,,,"['Your New Role', 'Work with different Marketing teams to setup, manage, tune and measure all customer communication across all digital channels including email, SMS/MMS, push, in-app and social media, etc.', 'Conduct in-depth analysis by using different statistical techniques (A/B Testing) for campaign performance evaluation.', 'Adopt analytics or machine learning technique to support an actionable customer engagement (campaign) strategy &amp; implementation.', 'Collect, understand &amp; convert business requirements into technical specifications, and coordinate with development teams to conduct UAT for in-house-developed targeting databases.', 'What makes you succeed:', 'University graduate in Statistics, Business Analysis, Data Science and Computer Science/Information System or relevant discipline', 'Proficiency in SAS &amp; SQL and superior knowledge of Excel is a MUST.', 'At least 2 years’ analytical experience with high data volume environments, preferably in software, internet, media or telecom industry. Fresh graduates are welcome.', 'Hands on experience in using different campaign tools, e.g. SAS Customer Intelligence Studio, Radica or Emarsys is preferred.', 'Self-motivated and able to accomplish multiple tasks', 'Strong problem solving skills and able to work under tight timeline.', 'Good command in both spoken and written English.']"
65,01-Nov-21,"Data Analyst - SAS, SQL, Python",Page Group Hong Kong,,Human Resources Management/Consultancy,2 years,"[""Bachelor's degree or above in Computer Science, Statistics, Business Administration, or related disciplines"", 'At least 2 years of experience in using SAS and SQL, knowledge in Python would be a plus', 'Previous exposure in banking or insurance environment is highly valued', 'Capable in identifying banking user data requirements and provide relevant solutions', 'Proficient in English communication, both in written and spoken', 'Eligible to work in Hong Kong', 'Job Offer', 'Career Progression in Banking', 'Exposure to Various Banking Teams', 'Experience in Machine Learning Projects', 'Advanced Data Solution Technologies', 'Dynamic and Diversified Working Environment', 'Competitive Salary', 'Generous Balance of Annual Leaves']","['Work with stakeholders to understand their data requirements', 'Establish and maintain data ETL pipeline, conduct data cleansing and labelling', 'Conduct data analysis based on the business users request', 'Identify trends and anomalies, the suggest remedial actions to address the findings', 'Ad-hoc tasks assigned by team lead', 'Profile', 'Job Requirements:', ""Bachelor's degree or above in Computer Science, Statistics, Business Administration, or related disciplines"", 'At least 2 years of experience in using SAS and SQL, knowledge in Python would be a plus', 'Previous exposure in banking or insurance environment is highly valued', 'Capable in identifying banking user data requirements and provide relevant solutions', 'Proficient in English communication, both in written and spoken', 'Eligible to work in Hong Kong', 'Job Offer', 'Career Progression in Banking', 'Exposure to Various Banking Teams']","['Our client is a well-known banking group with strong business focus in the APAC region. They are looking for multiple Data Analysts to join the team. The successful candidates will work with different stakeholders of the company and provide relevant data solutions to drive business changes.', 'Client Details', ""Our client is a well-known banking group with strong business focus in APAC. With more than 100 years of history operating in major financial hubs, the firm has continued to provide top-notch services to their clients globally. Offering a wide range of financial solutions to their fulfil their client's needs."", 'They are looking for multiple Data Analysts to join the team. The successful candidates will work with different stakeholders of the company and provide relevant data solutions to drive business changes. Candidates must have strong knowledge in SAS, SQL, and Python (Numpy, Pandas). Fluency in English communication is mandatory.', 'Description', 'Job Responsibilities:', 'Work with stakeholders to understand their data requirements', 'Establish and maintain data ETL pipeline, conduct data cleansing and labelling', 'Conduct data analysis based on the business users request', 'Identify trends and anomalies, the suggest remedial actions to address the findings', 'Ad-hoc tasks assigned by team lead', 'Profile', 'Job Requirements:', ""Bachelor's degree or above in Computer Science, Statistics, Business Administration, or related disciplines"", 'At least 2 years of experience in using SAS and SQL, knowledge in Python would be a plus']"
