,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
280,25-Oct-21,Data Scientist,Ztore HK Limited,Lai Chi Kok,Others,1 year,"['Mathematics, Statistics, Economics, Computer Science, Engineering or related degree (M.S. or Ph.D. is preferred)', '2+ years working experience as a data scientist or analyst in the e-commerce, FMCG, retail, or finance industry', 'Demonstrable experience in applying the latest machine learning techniques to deliver quantifiable business outcomes', 'Able to concisely articulate data science work and insights to stakeholders', 'Working knowledge in a variety of supervised and unsupervised algorithms, and their corresponding real-world limitations.', 'Knowledge of advanced statistical techniques and concepts', 'Having manipulated big data with Python', 'and SQL', 'Relevant rights to work in Hong Kong', 'Nice-To-Have:']","['Identify supply-side and demand-side actors and build predictive and prescriptive models to turn data into actionable business insights', 'Unlock operational efficiency through big data optimization and robust statistical analyses', 'Drive smarter A/B testing and carry out hypothesis testing through statistical inference', 'Explore and master new technologies to advance', 'customer experience solution, such as recommenders, and risk mitigation solution, such as fraud detection', 'Collaborate with other teams to promote a data-driven approach within the organization, and identify data opportunities with business stakeholders', 'Requirements:', 'Mathematics, Statistics, Economics, Computer Science, Engineering or related degree (M.S. or Ph.D. is preferred)']","['WHY we are looking for this position?', 'We are looking for a passionate Data Scientist who has something to prove to the world that data can not only empower a company in all facets but also lead the company to the fastest path to success. Successful candidate will be involved in developing, building, and scaling big data real-time solution that empowers the company’s strategy and drives efficiency gain.', 'This is a rare opportunity for you to join a dynamic and fast-growing data team to make a clear difference to deliver a better living.', 'Responsibilities:', 'Identify supply-side and demand-side actors and build predictive and prescriptive models to turn data into actionable business insights', 'Unlock operational efficiency through big data optimization and robust statistical analyses', 'Drive smarter A/B testing and carry out hypothesis testing through statistical inference', 'Explore and master new technologies to advance', 'customer experience solution, such as recommenders, and risk mitigation solution, such as fraud detection', 'Collaborate with other teams to promote a data-driven approach within the organization, and identify data opportunities with business stakeholders']"
281,03-Nov-21,Senior HR Analyst,Chandler Macleod Group (HK) Limited,,Human Resources Management/Consultancy,3 years,,,"['Responsibilities', 'Conduct data profiling and develop data quality rules to ensure data accuracy of HR records', 'As the subject matter expert to lead the development and implementation of data analysis, visualisations and analytics', 'Provide market insights to stakeholders by translating the data into upcoming trends of people', 'Define HR key metrics, set up analysis automation to enhance operation performance', 'Qualifications', 'University graduate in the subject of HR, Stattistics or related discipline', 'At least 6 years of related experiences from a sizable corporation', 'Proven track record of successfully delivering automation solutions, streamlined work processes, data analysis and data quality initiatives', 'Experiences in using visualisations and analytical tools (Qlik, Power BI etc)', 'Good command of both Chinese and English']"
282,27-Oct-21,HRIS and Data Specialist,Greenpeace East Asia,Wong Tai Sin Area,Charity/Social Services/Non-Profit Organisation,,"[""Bachelor's degree in human resources, information technology, computer science, statistics or a related field is required."", 'Experience in managing HRIS system.', 'Microsoft Excel super user.', 'Extensive HR systems reporting, HR process, and project management experience.', 'Demonstrated experience/maturity to handle confidential and sensitive information.', 'Possess positive, service-oriented attitude with excellent follow through on issues.', 'Highly organized with ability to manage multiple priorities in a fast-paced environment.', 'Fluent English as working language.', 'Preferred Qualifications:', 'Experience working in a multi-national organization.']",,"['HRIS', 'and Data Specialist', 'This role is responsible for developing, implementing and maintaining HRIS system, as well as data collection, retrieval, accessibility and analysis of employee information to support HR operation and the people strategy of the organization. The main responsibilities include providing technical guidance and direction on the HRIS system usage to the system users; identifying opportunity to improve HRIS processes, functionality and workflow; developing and implementing strategies to address system-related issues to meet the requirements of HR management and the staff; providing training to the users on functionality of the HRIS systems as needed.', 'This role may serve as HR department liaison to third party vendors and will be well-versed in a variety of computer system environments and be able to troubleshoot technical issues. The post holder will usually work with HR staff, IT and Comms on HR system development in Greenpeace East Asia.', 'Basic Requirements:', ""Bachelor's degree in human resources, information technology, computer science, statistics or a related field is required."", 'Experience in managing HRIS system.', 'Microsoft Excel super user.', 'Extensive HR systems reporting, HR process, and project management experience.', 'Demonstrated experience/maturity to handle confidential and sensitive information.']"
283,"{date}"",""","Vietnamese Speaking Business Analyst-Location: Shanghai, China","Evalueserve Business Consulting (Shanghai) Co., Ltd",Overseas,Financial Services,,,,"['Job description', 'Understanding client’s requirements (what needs to be done and how), under the guidance of a project manager', 'Conducting extensive research on a variety of industries using both local language and English', 'Developing knowledge of research topics:', 'Data collection – both primary and secondary', 'Data collation and analysis', 'Data presentation in English', 'Paying attention to details', 'Triangulating data from different sources', 'Participating in client communications – emails, phones, and face-to-face – throughout project lifecycle', 'Ensuring perfect delivery on tasks as allocated']"
284,"{date}"",""","Intern, Risk Management",China Securities (International) Finance Holding Company Limited,Central,Financial Services,,"['Undergraduate/Post-graduate students from Risk Management, Finance, Data Science or related disciple(s) in a reputable university;', 'Past intern/part-time experience in risk management or front line/back office internship experience with reputable banks/investment banks/brokerage house/fund house;', 'Preferable with computer language skills such as VBA, Python, R, SAS etc.;', 'Good analytical, interpersonal and communication skills;', 'Good command of written and spoken English and Chinese including Putonghua;', 'Preferable with capability of working 5 days per week', '; and', 'Final Year Student preferred.']",,"['Job Duties:', 'Assist in', 'preparing daily risk reports and ad-hoc reporting from head office and regulator;', 'Assist in daily risk monitoring for various business lines;', 'Support system UAT risk relevant testing tasks; and', 'Assist in any ad-hoc task and project assigned by the team.', 'Requirements:', 'Undergraduate/Post-graduate students from Risk Management, Finance, Data Science or related disciple(s) in a reputable university;', 'Past intern/part-time experience in risk management or front line/back office internship experience with reputable banks/investment banks/brokerage house/fund house;']"
285,02-Nov-21,Business Analyst,Walton International Group Limited,Admiralty,Financial Services,3 years,,,"['The Business Analyst (BA) is a member of the IT department who works with a business unit to ensure they have the technology solutions necessary to enable them to meet their goals.\xa0 The BA defines and document business needs in a language and format that is usable by the IT department for developing and implementing the solution.\xa0 The BA maintains the relationship between IT and the business unit, always ensuring the business unit has the technological solutions necessary as the business unit grows and evolves.', 'Responsibilities', 'Business Process Analysis:', 'Investigate business processes currently in use, documenting the process’ interaction with the current technologies', 'Facilitate and participate in the development of future state business processes', 'Understand and document the technology requirements in the future state business processes, including system requirements, data usage and system integration points', 'Requirements Gathering and Business Analysis:', 'Perform stakeholder, end-user and impacted party analysis, including organizing and facilitating workshops, to determine, validate, and obtain sign-off on business and functional requirements', 'Anticipate, quantify and resolve problems and issues with requirements']"
286,25-Oct-21,Data Engineer /Data Analyst,Grand Alliance Asset Management Ltd,Central,Financial Services,1 year,,,"['Responsibilities', 'Collect and clean structured and unstructured data, develop and maintain data pipeline, analyze and visualize financial/fund data', 'Develop and maintain front and back-end database architecture', 'Transform data into meaningful conclusions and recommendations', 'Propose and implement automation pipeline that supports daily operation processes', 'Collaborate with other teams to promote a data-driven approach within the firm', 'Ad-hoc tasks related to data processing and analysis', 'Assist in IT-related initiatives', 'Liaise with external data and IT vendors', 'Requirements', 'Degree in', 'Computer Science, Engineering, Data Analytics, Financial Engineering', 'or related disciplines', '1 year+ of work/intern experience in related areas (preferably in the financial industry)', 'Proficiency in', 'Python']"
287,03-Nov-21,Part-time Research Assistant,Centaline Property Agency Ltd,Central,Property Management / Consultancy,,"['Higher Diploma or above major in Computer Science/ Economics/ Business/ Statistics/ Management Science or equivalent', 'Good communication skills', 'Good command of both written and spoken English and Chinese', 'Proficiency with Excel VBA, SQL Query', 'Knowledge in Python will be an advantage', 'For application, please send full resume with present and expected salary to', ""Human Resources Department, 5/F., Tower 1, New World Tower, 18 Queen' s Road Central, Hong Kong"", 'For more information about us, please visit our website at:', 'www.centanet.com', 'Data collected will be used for recruitment purpose only']","['Assist in data acquisition and integration', 'Maintain and analyse data and information', 'Requirements:', 'Higher Diploma or above major in Computer Science/ Economics/ Business/ Statistics/ Management Science or equivalent', 'Good communication skills', 'Good command of both written and spoken English and Chinese', 'Proficiency with Excel VBA, SQL Query', 'Knowledge in Python will be an advantage', 'For application, please send full resume with present and expected salary to', ""Human Resources Department, 5/F., Tower 1, New World Tower, 18 Queen' s Road Central, Hong Kong"", 'For more information about us, please visit our website at:', 'www.centanet.com']","['Responsibilities:', 'Assist in data acquisition and integration', 'Maintain and analyse data and information', 'Requirements:', 'Higher Diploma or above major in Computer Science/ Economics/ Business/ Statistics/ Management Science or equivalent', 'Good communication skills', 'Good command of both written and spoken English and Chinese', 'Proficiency with Excel VBA, SQL Query', 'Knowledge in Python will be an advantage', 'For application, please send full resume with present and expected salary to', ""Human Resources Department, 5/F., Tower 1, New World Tower, 18 Queen' s Road Central, Hong Kong"", 'For more information about us, please visit our website at:']"
288,27-Oct-21,Planning Analyst (Ref: CDD-P-PA-JD),"The Hongkong Electric Co., Ltd.",Admiralty,Public Utilities,3 years,,,"['Responsibilities :', 'Reporting to the', 'Head of Planning', ', the appointee will mainly perform the following responsibilities:', 'To develop and build AI and machine learning models for conducting analytics study, performance evaluation and other research analysis', 'To conduct and enhance short-term and long-term predictive models', 'To pre-process datasets, manipulate database and ensure data integrity and quality']"
289,"{date}"",""",System Analyst,Wang On Properties Limited,Kowloon Bay,Property Development,5 years,,"['Responsible for system analysis, application design and software development;', 'Conduct SIT, UAT, system and software testing and tuning;', 'Provide support in troubleshooting and bug fixing to ensure systems reliability;', 'Prepare technical documentation;', 'Develop and maintain data warehouse and database design for business intelligence;', 'Develop and create data automation tools;', 'Develop business reporting and dashboard for data analytics;', 'Provide user training and reporting support;', 'Actively support the business objectives of Company by contributing technical device and input as necessary;', 'Evaluate and recommend cost-effective and sensible implementation options;', 'Handle ad hoc project as assigned;']","['Responsibilities:', 'Responsible for system analysis, application design and software development;', 'Conduct SIT, UAT, system and software testing and tuning;', 'Provide support in troubleshooting and bug fixing to ensure systems reliability;', 'Prepare technical documentation;', 'Develop and maintain data warehouse and database design for business intelligence;', 'Develop and create data automation tools;', 'Develop business reporting and dashboard for data analytics;', 'Provide user training and reporting support;', 'Actively support the business objectives of Company by contributing technical device and input as necessary;']"
290,04-Nov-21,System Analyst,Esri China (Hong Kong) Ltd,Lai Chi Kok,Information Technology,5 years,"['Degree in Computer Science, Information Technology or related disciplines;', 'Over 5 years of relevant IT working experience with broad IT knowledge and problem-solving ability;', 'Solid project experience and knowledge in system design and analysis methodology such as SSADM;', 'Solid technical foundation and experience in application development, software customization, and system enhancement, and IT quality control procedures;', 'Strong programming skill and practical experience with Microsoft .NET Framework (C#), Java, or JavaScript framework in Web programming;', 'Experience in database management systems (SQL Server &amp; Oracle);', 'GIS or iOS/Android development experience is an asset but not required;', 'Good communication, presentation and interpersonal skills;', 'Detail-oriented with a keen sense of quality;', 'Ability to work efficiently and meet project schedules; and', 'Work independently as well as in team environment;']",,"['Esri China (Hong Kong) is the pioneering company in GIS industry and in the region.\xa0 We are seeking capable people to excel the talents and to work for our family.', 'Job Descriptions:', 'Responsible for system analysis, application design and software development;', 'Collect &amp; analyze business and user requirements and translate requirements into system specification;', 'Perform implementation, installation and production set-up of IT systems;', 'Conduct SIT, UAT, system and software testing\xa0and tuning;', 'Provide support in troubleshooting and bug fixing to ensure systems reliability;', 'Lead programmers to perform software development and provide support and maintenance services;']"
291,04-Nov-21,Business Analyst (Banking),Zebra Strategic Outsource Solution Ltd,Kwun Tong,Human Resources Management/Consultancy,,"['University graduate in related disciplines or other relevant qualifications', 'Minimum 2 years working experience preferred', 'Knowledge in general banking or financial institution will be an advantage', 'Sensitive to numbers', 'Strong self-motivation and creativity, with nice project management, communication, problem solving and analytical skills', 'Great sense of ownership and servicing mindset to ensure efficient and effective assistance and advisory processes']","['Assist in data analysis for business performance tracking and portfolio review', 'Coordinate with business partners to prepare reporting materials', 'Streamline existing tasks and reporting process', 'Manage ad-hoc tasks from business teams and management', 'Requirements:', 'University graduate in related disciplines or other relevant qualifications', 'Minimum 2 years working experience preferred', 'Knowledge in general banking or financial institution will be an advantage']","['Responsibilities:', 'Assist in data analysis for business performance tracking and portfolio review', 'Coordinate with business partners to prepare reporting materials', 'Streamline existing tasks and reporting process', 'Manage ad-hoc tasks from business teams and management', 'Requirements:', 'University graduate in related disciplines or other relevant qualifications']"
292,30-Oct-21,Senior Analyst Programmer / System Analyst,Solution Expert Technology Limited,Kwai Hing,Information Technology,3 years,,,"['Responsibilities', ':', 'Provide IT solutions for various business units (ERP, HR, POS &amp; TA)', 'Assist IT manager in project &amp; team management', 'Work closely with developers for system development', 'Carry out cloud technologies for IT projects and systems', 'Requirements', ':', 'Bachelor Degree in CS, IT, MIS or related disciplines']"
293,03-Nov-21,"Business Analyst (Global Bank, 12-month Renewable Contract)",ADECCO,Ngau Tau Kok,Human Resources Management/Consultancy,1 year,"['• Bachelor’s degree in related disciplines or relevant qualifications', '•\xa01-2 years relevant working experiences is preferred, but not necessary', '• Familiar with general banking and financial institution will be an advantage', '• Passionate about data, be sensitive to numbers, have strong data analysis skills', '• Ensure every process delivered in a timely manner', '• Proactive and initiative, team player', ""If you're interested in this role, please please"", 'CLICK HERE', 'or', ""click 'Apply Now' to apply the position via Adecco website with your CV"", '.', 'Please note that only shortlisted candidates will be notified. All information gathered will be treated in strict confidence and solely used for recruitment purposes.']","['• Ensure business performance and conduct data analysis for portfolio review', '• Organize business reports, materials and liaise with different stakeholders', '• Simplifies current tasks and the reporting business process', '• Conduct any business ad-hoc task needed', 'Requirements:', '• Bachelor’s degree in related disciplines or relevant qualifications', '•\xa01-2 years relevant working experiences is preferred, but not necessary', '• Familiar with general banking and financial institution will be an advantage', '• Passionate about data, be sensitive to numbers, have strong data analysis skills', '• Ensure every process delivered in a timely manner', '• Proactive and initiative, team player']","['Our client is a global bank, they are looking for a Business Analyst to join their team', 'Responsibilities:', '• Ensure business performance and conduct data analysis for portfolio review', '• Organize business reports, materials and liaise with different stakeholders', '• Simplifies current tasks and the reporting business process', '• Conduct any business ad-hoc task needed', 'Requirements:', '• Bachelor’s degree in related disciplines or relevant qualifications', '•\xa01-2 years relevant working experiences is preferred, but not necessary', '• Familiar with general banking and financial institution will be an advantage']"
