,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
2591,11-Oct-21,Senior Business Strategy Manager,Bank of China (Hong Kong) Limited,,Financial Services,,,"['Coordinate and formulate financial budget and KPI for the overall Personal Banking and corresponding business units, and optimizing the workflow', 'Review financial and management reporting including financial performance analysis, peer comparison and financial forecast', 'Monitor financial plan progress and budget performance and review corresponding reports and presentation materials', 'Formulate/update the various business plan policies/implementation action plan/structure design and etc. in order to support business development', 'Carry out ad-hoc tasks assigned by supervisors or management', 'Requirement:', 'Degree holder or above with major in Business Administration/Finance/ Economics/ Statistic/ Marketing or related disciplines', '7-10 years or above relevant experience in management reporting/financial planning and budgeting related experience in banking field preferred', 'With strong analytical skills and critical mindset, capable of examining and analyzing financial and management information with business acumen', 'Be a good team player and self-motivated, energetic, and enthusiastic for new challenges under pressure', 'Excellent communication and presentation skills with good command of spoken and written English and Chinese including Putonghua and Cantonese', 'Competent in MS office application (Word, Excel, PowerPoint and etc.) and Chinese &amp; English input method', 'We offer competitive remuneration package and comprehensive fringe benefits including medical and life insurance, and different types of allowances to the right candidate. Interested parties, please submit your application online. For details, please visit our website', 'http://www.bochk.com', 'To Apply:', 'https://careers.pageuppeople.com/798/cw/en/job/498234/senior-business-strategy-manager-branch-network-strategy-11232', 'Data collected would be used for recruitment purposes only. It might also be disclosed to our subsidiaries or Associated Companies to process the information for appointment. Applicants who do not hear from us within 8 weeks may consider their application unsuccessful and their data will be destroyed within 12 months of receipt.']","['Job No.:\xa0498234', 'Employment Type:\xa0Full time', 'Departments:\xa0Personal Banking Risk And Integrated Management Department', 'Job Functions:\xa0Business Development, Strategic Planning', 'Responsibilities:', 'Coordinate and formulate financial budget and KPI for the overall Personal Banking and corresponding business units, and optimizing the workflow', 'Review financial and management reporting including financial performance analysis, peer comparison and financial forecast', 'Monitor financial plan progress and budget performance and review corresponding reports and presentation materials', 'Formulate/update the various business plan policies/implementation action plan/structure design and etc. in order to support business development', 'Carry out ad-hoc tasks assigned by supervisors or management', 'Requirement:', 'Degree holder or above with major in Business Administration/Finance/ Economics/ Statistic/ Marketing or related disciplines', '7-10 years or above relevant experience in management reporting/financial planning and budgeting related experience in banking field preferred', 'With strong analytical skills and critical mindset, capable of examining and analyzing financial and management information with business acumen', 'Be a good team player and self-motivated, energetic, and enthusiastic for new challenges under pressure', 'Excellent communication and presentation skills with good command of spoken and written English and Chinese including Putonghua and Cantonese', 'Competent in MS office application (Word, Excel, PowerPoint and etc.) and Chinese &amp; English input method']"
2592,12-Oct-21,Product Manager | IoT,Morgan Half International (Hong Kong) Limited,,Human Resources Management/Consultancy,,"['Degree holder in Computer Science, Information Business or relevant discipline', '3+ years of relevant experience', 'Solid understanding in Cloud infrastructure', 'To apply online, please click ""Apply Now"" button below. For any inquiries, please email info @morganhalf.com']","['Develop internet/technology products for the business by collecting user requirement across different departments and the market', 'Manage the product development timeline, status, and quality', 'Proactively identify potential risks and issues throughout the development process and formulate appropriate solutions', 'Perform testing to ensure user and business requirements are met', 'Maintain positive and effective relationship with stakeholders and facilitate a smooth business process', 'Requirements:', 'Degree holder in Computer Science, Information Business or relevant discipline', '3+ years of relevant experience', 'Solid understanding in Cloud infrastructure', 'To apply online, please click ""Apply Now"" button below. For any inquiries, please email info @morganhalf.com']","['About the client:', 'Our client is specialised in IoT solutions.', 'Responsibilities:', 'Develop internet/technology products for the business by collecting user requirement across different departments and the market', 'Manage the product development timeline, status, and quality', 'Proactively identify potential risks and issues throughout the development process and formulate appropriate solutions', 'Perform testing to ensure user and business requirements are met', 'Maintain positive and effective relationship with stakeholders and facilitate a smooth business process', 'Requirements:']"
2593,08-Oct-21,Analyst - Investment Management Department,China Galaxy International Financial Holdings Limited,Sheung Wan,Financial Services,,"['Strong quantitative and analytical skills;', 'Strong programming skills,', 'e.g.', 'Python;', 'Database management knowledge is preferred;', 'Strong background in statistics, mathematics, computer science or other scientific disciplines;', 'Bachelor or above.', 'We offer attractive remuneration package and fringe benefits to the right candidate. Interested applicants please send detailed resume stating present &amp; expected salaries and date of availability to Human Resources &amp; Administration Department by email.', 'All applications will be treated in the strictest confidence and personal data collected will be used for recruitment purpose only.']",,"['Job Duties :', 'Providing support to the Manager in respect of the following:', 'Conduct extensive data analysis and research to explore and identify market opportunities (mainly equities);', 'Design and implement trading strategies;', 'Work closely with traders and assist in', 'daily activities of the trading desk.', 'Requirements:']"
2594,11-Oct-21,Manager - Cyber Fusion Centre (CFC) - Global Technology Services,PwC,,Accounting/Audit/Tax Services,2 years,"['Degree holder in Computer Science or equivalent;', 'Minimum four years of work experience in Information Technology service industry;', 'Experienced in supporting a broad portfolio of IT and infrastructure work streams simultaneously (hardware and software): projects, strategic initiatives, BAU technical support/service operations, etc;', 'Customer-focused, proactive and approachable with a service-oriented manner; comfortable working independently with very limited supervision', 'Ability to work under pressure, sometimes for long unsocial hours', 'Ensure that problems are managed, and escalated efficiently with the minimum disruption to the business', 'Experience on Power BI, Qlik, Tableau, Splunk, Powershell, Python, Java, Javascript', 'Hands on experience with Public and Private Cloud maintenance and support', 'Experience on Private Cloud Technologies (ESX VSI/VDI)', 'Experience on Operating system engineering (Windows, Linux, &amp; ESX)', 'Experience on Data Analytics and reporting', 'Fluent communication skill in both written and spoken English, and Chinese (Cantonese and/or Putonghua)']",,"['Job Description &amp; Summary', 'A career in Information Technology, within Internal Firm Services, will provide you with the opportunity to support our core business functions by deploying applications that enable our people to work more efficiently and deliver the highest levels of service to our clients. Our Information Technology Generalist - Practice Support team focuses on managing the design and implementation of technology infrastructure within PwC, developing and enhancing internal applications, and providing technology tools that help create a competitive advantage for PwC to drive strategic business growth.', 'Cyber Fusion Centre combines Security Operations and Network Operations.\xa0 The individual will be the lead manager of Cyber Fusion Center, to ensure the safety, availability and stability on all Global Technology Services provided. Also provide instant communication and escalation to internal and managerial level on incident affecting application and infrastructure. This individual will lead the team to perform some, but not limited to, the following:', 'Monitor performance and ensure network, system and application availability', 'Monitor cyber security alerts (e.g. FireEye, WAF etc)', 'Provide technical support services including: incident troubleshooting on network, system, application, data Centre', 'Perform regular patches update for Windows/Linux servers', 'Perform daily checking on network/ system/ application monitoring tools and cyber security monitoring tools to maintain data integrity', 'Provide 24x7 on call support for major incidents', 'Incident handling, problem troubleshooting and escalation to upper tier', 'New technology To study the product portfolio and maintain a good basic level of technical know-how', 'Providing Level-2 support and troubleshoot', 'Handling ad-hoc task', 'Requirements:']"
2595,11-Oct-21,Analyst Programmer ( Java / Web Programming),EDPS Systems Limited,,Information Technology,3 years,"['Degree/Higher Diploma holder in Information Technology/Computer Science or equivalent;', 'Minimum 3 years IT working experience;', 'Minimum 1 years experiences as Analyst Programmer or similar capacity;', 'Minimum 1 year hands-on experience in Java application programming;', 'Working experiences in application implementation and development using JAVA and web programming;\xa0and', 'Good communication and interpersonal skills.', 'Interested parties please send detailed resume with present/expected salary to HR Department.', 'Address: Room 1202, 12/F, Harcourt House, 39 Gloucester Road, Wanchai, Hong Kong.', 'Tel: 2838-6813', 'Fax: 2838-6776']","['Contract to various government departments to perform\xa0IT application design, development, implementation and maintenance.', 'Develop and implement applications;', 'Assist the design of applications; and', 'Provide technical and operation support to existing systems.', 'Requirements:', 'Degree/Higher Diploma holder in Information Technology/Computer Science or equivalent;', 'Minimum 3 years IT working experience;', 'Minimum 1 years experiences as Analyst Programmer or similar capacity;', 'Minimum 1 year hands-on experience in Java application programming;', 'Working experiences in application implementation and development using JAVA and web programming;\xa0and', 'Good communication and interpersonal skills.', 'Interested parties please send detailed resume with present/expected salary to HR Department.', 'Address: Room 1202, 12/F, Harcourt House, 39 Gloucester Road, Wanchai, Hong Kong.', 'Tel: 2838-6813']","['Responsibilities:', 'Contract to various government departments to perform\xa0IT application design, development, implementation and maintenance.', 'Develop and implement applications;', 'Assist the design of applications; and', 'Provide technical and operation support to existing systems.', 'Requirements:', 'Degree/Higher Diploma holder in Information Technology/Computer Science or equivalent;', 'Minimum 3 years IT working experience;', 'Minimum 1 years experiences as Analyst Programmer or similar capacity;', 'Minimum 1 year hands-on experience in Java application programming;', 'Working experiences in application implementation and development using JAVA and web programming;\xa0and', 'Good communication and interpersonal skills.']"
2596,08-Oct-21,Senior Business Analyst,PCCW Media Limited,Kowloon Bay,Telecommunication,3 years,,,"['Your New Role', 'This is an excellent opportunity to work in a dynamic entertainment industry. As a leading media group in Hong Kong,', 'we are currently seeking a high', 'calibre', 'finance professional with an ambition and energetic personality to join our Finance Team. You will act as a business partner to assist the business unit in monitoring business performance and driving business growth. Other responsibilities include:', 'Conduct business planning and financial P&amp;L analysis for the Media Group and provide professional support to the digital media and TV business units in monthly closing, financial reporting, business performance monitoring, investment appraisal and cost controls', 'Work closely with Group Finance Team to review and monitor business unit’s revenues and expenditures to ensure consistency with Group’s goals and objectives', 'Keep track the business performance of business units, which aims to alert the management team to understand and be in a position to track key milestones and performance indicators', 'Assist in annual budget related exercises and new initiatives profitability analysis such as events and dramas production, ad hoc projects etc.', 'What makes you succeed']"
2597,08-Oct-21,"Assistant Manager, MIS",Dah Sing Financial Group,,Financial Services,3 years,,"['Develop and maintain various kinds of sales and services performance reports at levels of regions, districts, branches and individual salespersons for automation of MIS production.', 'Provide support to the design and calculation of staff incentive according to pre-defined parameters to evaluate the effectiveness of regular and tactical incentive programs', 'Collaborate with internal stakeholders to extract business insights from data sets for identifying business opportunities and evaluate the effectiveness of sales campaigns.', 'Assist in the development of new system such as MIS database, end user program for automation, and provide UAT support for implementing system changes.', 'Provide data analytical support to re-engineer work processes and internal controls, and other ad-hoc assignment.', 'Job Requirements', 'To meet the challenge, you should have the following qualifications and attributes:', 'University degree in Computer Science, Mathematics, Quantitative Analysis or other related disciplines.', 'Minimum 3 years of work experience in banking and financial industry in area of MIS, business analytics and sales support.', 'Proficiency in MS Access, SQL and MS Excel VBA is necessary, experience in dashboard reporting will be a plus.']","['To be a member of MIS team of Branch Management Department, the team member is expected to provide MIS support to business units of retail banking and perform business analysis and KPI reporting.', 'Main Responsibilities:', 'Develop and maintain various kinds of sales and services performance reports at levels of regions, districts, branches and individual salespersons for automation of MIS production.', 'Provide support to the design and calculation of staff incentive according to pre-defined parameters to evaluate the effectiveness of regular and tactical incentive programs', 'Collaborate with internal stakeholders to extract business insights from data sets for identifying business opportunities and evaluate the effectiveness of sales campaigns.', 'Assist in the development of new system such as MIS database, end user program for automation, and provide UAT support for implementing system changes.', 'Provide data analytical support to re-engineer work processes and internal controls, and other ad-hoc assignment.', 'Job Requirements', 'To meet the challenge, you should have the following qualifications and attributes:']"
2598,11-Oct-21,System Analyst - ASP.Net,Hays,,Human Resources Management/Consultancy,5 years,,,"['Expanding Trustee looking for a System Analyst who has solid experience in ASP.Net', 'Your new company', 'One of the growing Trustee is looking to expand their team on transformation projects. This multi-award winning organization is now looking for a System Analyst to oversee various functions within change management, IT, web base application.', 'Your new role', 'Manages projects implementation and project prioritization', 'Work closely with users and vendors for system requirement analysis, design, development, implementation and testing', 'Present technical architectures and solutions, identify risks and issues, and report the development progress to management', 'Analysis, design and implementation of multi-tier web application systems', 'Evaluate new technology to improve business operation and services, and take the lead to conduct proof of concept test, with or without assistance from services provider', ""Perform vendor and contract management and review vendors' system documentation"", ""What you'll need to succeed"", 'Degree in Computer Science, Information Technology or any related discipline', ""At Least 5 years' IT work experience in system development"", 'Experience in ASP.Net, MS SQL', 'Consolidate system requirements from users and implement new systems according to specifications']"
2599,11-Oct-21,Microsoft Dynamics NAV / D365 BC Functional Consultant,Saglobal Asia Limited,,Information Technology,,"['4+ years of experience as a subject matter expert in Microsoft D365 BC with full project implementation experience', '2+ years of experience developing functional specifications for D365 BC enhancements and integrations', 'Strong business writing and verbal communication skills', 'Business intelligence understanding including Reporting and Analytics', 'Highly confident with providing support and training to users', 'Strong attention to detail and a keen desire to deliver the highest quality solutions to customers', 'Fluency in written and oral English', 'Education:', 'Minimum Bachelor’s degree, preferably in Information Technology or equivalent professional qualification', 'Relevant Microsoft certifications are preferable']","['Provide expertise and in-depth knowledge of the Microsoft D365 BC application and evaluates the customer’s business processes against the standard Microsoft Dynamics functionality', 'Responsible for documenting the business requirements which express what actions a solution must take and what outcome is expected', 'Responsible for conducting user acceptance testing and train customer resources to successfully use and maintain the Microsoft D365 BC', 'Supports the Microsoft D365 BC application to achieve the customer’s business requirements', 'Assist with any other necessary task as required', 'Requirements:', '4+ years of experience as a subject matter expert in Microsoft D365 BC with full project implementation experience', '2+ years of experience developing functional specifications for D365 BC enhancements and integrations', 'Strong business writing and verbal communication skills', 'Business intelligence understanding including Reporting and Analytics']","['What are you looking for?', 'If it’s a career that offers growth opportunities, an independent work environment, and a dynamic, supportive company with a strong ethical culture\xa0– keep reading. If it’s working with a team that has passion for their work, a good sense of fun, and a strong work-ethic – keep reading. If it’s working in a collaborative environment that encourages and supports growth and change – keep reading. If you are an experienced Dynamics NAV / D365 BC Functional Consultant and would like the opportunity to work with one of Microsoft’s largest, Global, multi-award-winning partners – keep reading.', 'Who are we looking for?', 'We are passionate about technology and Microsoft business applications. We are currently looking for a Functional Consultant – D365 Business Central (Dynamics NAV) to join our ERP team. The objective of this role is to take a consultative approach to implement and deliver D365 Business Central (Dynamics NAV) products and services.', 'What we offer', 'A full-time position as a Dynamics 365\xa0BC Functional Consultant with a competitive salary and benefit package', 'An exciting work environment with some of the most experienced Dynamics 365 functional and technical consultants in the business', 'Access to on-going training workshops and internal weekly team knowledge-sharing sessions', 'Exposure to global projects', 'An opportunity to work with a diverse and dynamic team']"
2600,07-Oct-21,Product and Distribution Specialist,Generali Life (Hong Kong) Limited,Tai Koo,Insurance/Pension Funding,,"['University graduates majoring in Actuarial Science', 'At least 1-year insurance business experience', 'At least 1-year actuarial analysis experience.', 'Good actuarial analysis skills, problem solving skills &amp; analytical skills', 'We offer 5-day work, good career prospects and attractive remuneration package to the right candidates. Interested parties please send full resume with expected salary to:', 'The Human Resources Department, 21/F, Cityplaza One,1111 King’s Road, Taikoo Shing, Hong Kong or by email', '.', 'Personal data collected will be strictly used for recruitment purpose only. All unsuccessful applications will be destroyed after two year']","['To provide actuarial analysis supports within the B2B2C Department.', 'Supporting the business growth by working on innovation product design, research and pricing.', 'Perform statistical analysis to identify trends and to find patterns in unstructured and semi-structured customer data that can be used to create a more positive customer experience and increase sales.', 'Perform by product experience analysis.', 'Manage agency compensation and incentives, and promotional campaign financials.', 'Assist in ad-hoc projects.', 'Key Requirements:', 'University graduates majoring in Actuarial Science', 'At least 1-year insurance business experience', 'At least 1-year actuarial analysis experience.']","['Key Responsibilities:', 'To provide actuarial analysis supports within the B2B2C Department.', 'Supporting the business growth by working on innovation product design, research and pricing.', 'Perform statistical analysis to identify trends and to find patterns in unstructured and semi-structured customer data that can be used to create a more positive customer experience and increase sales.', 'Perform by product experience analysis.', 'Manage agency compensation and incentives, and promotional campaign financials.', 'Assist in ad-hoc projects.', 'Key Requirements:', 'University graduates majoring in Actuarial Science']"
